dataset,noise_type,seed,real_hybrid_auc,shuffled_hybrid_auc,delta
CiteSeer,feature_similar_cross_class,3,0.5980504886150756,0.5967844509035194,0.0012660377115562005
CiteSeer,feature_similar_cross_class,4,0.6012602438569046,0.597508823557813,0.00375142029909159
CiteSeer,feature_similar_cross_class,5,0.5955856259294309,0.5949430110018862,0.0006426149275446935
CiteSeer,feature_similar_cross_class,6,0.5909456737609198,0.5911655787095154,-0.00021990494859558396
CiteSeer,feature_similar_cross_class,7,0.604276448141782,0.6018141001499964,0.002462347991785685
CiteSeer,feature_similar_cross_class,8,0.6040104941192376,0.6047438190836697,-0.0007333249644321249
CiteSeer,feature_similar_cross_class,9,0.6080685260111885,0.6055632672833903,0.0025052587277982763
CiteSeer,cross_class_oracle,0,0.7419860931394322,0.743381245292493,-0.0013951521530608524
CiteSeer,cross_class_oracle,1,0.748632831360204,0.7454960424753923,0.0031367888848117254
CiteSeer,cross_class_oracle,2,0.7310026748295642,0.7326179733418309,-0.0016152985122667163
CiteSeer,cross_class_oracle,3,0.7498750096564245,0.7501805147839858,-0.0003055051275613341
CiteSeer,cross_class_oracle,4,0.7400830331794741,0.7402422434770852,-0.00015921029761112315
CiteSeer,cross_class_oracle,5,0.7414897126891854,0.7432846609307505,-0.0017949482415651197
CiteSeer,cross_class_oracle,6,0.7495863630364948,0.7499135548838975,-0.000327191847402708
CiteSeer,cross_class_oracle,7,0.7437545666840483,0.7425844896901576,0.0011700769938907118
CiteSeer,cross_class_oracle,8,0.7498845252579877,0.7498698394458501,1.4685812137593679e-05
CiteSeer,cross_class_oracle,9,0.7660186401179372,0.7602264753407108,0.005792164777226438
CiteSeer,low_feature_similarity,0,0.8726673297411435,0.8765933100291623,-0.003925980288018827
CiteSeer,low_feature_similarity,1,0.8822294229642648,0.8822949055923572,-6.548262809247252e-05
CiteSeer,low_feature_similarity,2,0.8679721347779343,0.8741203399705157,-0.006148205192581413
CiteSeer,low_feature_similarity,3,0.8652440942917656,0.8701166254659225,-0.004872531174156869
CiteSeer,low_feature_similarity,4,0.8713497106291481,0.8732066812800554,-0.0018569706509072859
CiteSeer,low_feature_similarity,5,0.8715357376220734,0.8770821463978319,-0.005546408775758516
CiteSeer,low_feature_similarity,6,0.8688322606655209,0.8717746134211424,-0.0029423527556214912
CiteSeer,low_feature_similarity,7,0.8793255349659128,0.8795404507618919,-0.00021491579597909816
CiteSeer,low_feature_similarity,8,0.8714156559609108,0.8765507211739638,-0.005135065213053069
CiteSeer,low_feature_similarity,9,0.8875999439927382,0.8834277449995815,0.004172198993156684
PubMed,feature_similar_cross_class,0,0.6102375427415441,0.610190066488396,4.747625314804882e-05
PubMed,feature_similar_cross_class,1,0.6185681936767902,0.6162958505852734,0.002272343091516804
PubMed,feature_similar_cross_class,2,0.6122697942866471,0.6103245357734381,0.001945258513208925
PubMed,feature_similar_cross_class,3,0.6164346195432232,0.614883916517583,0.0015507030256401988
PubMed,feature_similar_cross_class,4,0.6107034592681264,0.6096274778408607,0.0010759814272657264
PubMed,feature_similar_cross_class,5,0.6039651318444421,0.6034669719067801,0.0004981599376620016
PubMed,feature_similar_cross_class,6,0.613305920229616,0.6118859700598579,0.0014199501697581551
PubMed,feature_similar_cross_class,7,0.6169420698114754,0.615411881059105,0.0015301887523703206
PubMed,feature_similar_cross_class,8,0.6107098505591576,0.610119336413073,0.0005905141460845753
PubMed,feature_similar_cross_class,9,0.6104581711259655,0.6092029412916871,0.001255229834278393
PubMed,cross_class_oracle,0,0.7602112334432327,0.7601376675307645,7.356591246820976e-05
PubMed,cross_class_oracle,1,0.7611548931949798,0.7608030966851279,0.00035179650985184274
PubMed,cross_class_oracle,2,0.7614421388319041,0.7585229245537198,0.0029192142781843122
PubMed,cross_class_oracle,3,0.7638324918578153,0.763009149352729,0.0008233425050863108
PubMed,cross_class_oracle,4,0.756322717473091,0.7549145085301947,0.001408208942896283
PubMed,cross_class_oracle,5,0.7599397468402813,0.7591905422507133,0.0007492045895680643
PubMed,cross_class_oracle,6,0.765040045651451,0.7626453995273798,0.0023946461240712535
PubMed,cross_class_oracle,7,0.7579660118222482,0.757918610648477,4.7401173771222105e-05
PubMed,cross_class_oracle,8,0.7593514269632198,0.7583038677460877,0.0010475592171320658
PubMed,cross_class_oracle,9,0.7539880063248836,0.7526588619044201,0.0013291444204635017
PubMed,low_feature_similarity,0,0.8708485172394839,0.8700699337079474,0.0007785835315364809
PubMed,low_feature_similarity,1,0.8697829461828922,0.8706450928489095,-0.0008621466660172494
PubMed,low_feature_similarity,2,0.8721957943899291,0.870294945752376,0.001900848637553132
PubMed,low_feature_similarity,3,0.8700838066376848,0.8716702493555609,-0.0015864427178761131
PubMed,low_feature_similarity,4,0.8679081852958617,0.8684563317677617,-0.0005481464719000462
