dataset,noise_type,seed,pair,spearman_corr,spearman_p
Cora,low_feature_similarity,6,feature_vs_neg_grad,-0.01067957259969026,0.21095750517843023
Cora,low_feature_similarity,6,feature_vs_hybrid,0.924786476308856,0.0
Cora,low_feature_similarity,7,feature_vs_raw_grad,0.027197754261932078,0.0014412020341889433
Cora,low_feature_similarity,7,feature_vs_pos_grad,0.029614715390506866,0.0005213494297895846
Cora,low_feature_similarity,7,feature_vs_neg_grad,-0.005934030139279566,0.4870172825613969
Cora,low_feature_similarity,7,feature_vs_hybrid,0.925193206329461,0.0
Cora,low_feature_similarity,8,feature_vs_raw_grad,0.020452356635206535,0.016582299024372128
Cora,low_feature_similarity,8,feature_vs_pos_grad,0.02140688751087116,0.012152603803297485
Cora,low_feature_similarity,8,feature_vs_neg_grad,-0.008402005639041891,0.3250434603153559
Cora,low_feature_similarity,8,feature_vs_hybrid,0.9246708072300632,0.0
Cora,low_feature_similarity,9,feature_vs_raw_grad,0.03776046629823363,9.66787021566905e-06
Cora,low_feature_similarity,9,feature_vs_pos_grad,0.043087320377790395,4.437239878712755e-07
Cora,low_feature_similarity,9,feature_vs_neg_grad,-0.00469849777424026,0.5820866410864066
Cora,low_feature_similarity,9,feature_vs_hybrid,0.9234218978667409,0.0
CiteSeer,feature_similar_cross_class,0,feature_vs_raw_grad,0.07001603943376968,2.4367110540065492e-14
CiteSeer,feature_similar_cross_class,0,feature_vs_pos_grad,0.08131592546932748,8.028281433950637e-19
CiteSeer,feature_similar_cross_class,0,feature_vs_neg_grad,-0.00010276950421492694,0.9910810201352931
CiteSeer,feature_similar_cross_class,0,feature_vs_hybrid,0.9343565225004229,0.0
CiteSeer,feature_similar_cross_class,1,feature_vs_raw_grad,0.010094902921981687,0.2721705132080145
CiteSeer,feature_similar_cross_class,1,feature_vs_pos_grad,0.0378001241758669,3.903957390149288e-05
CiteSeer,feature_similar_cross_class,1,feature_vs_neg_grad,0.03614104597659389,8.408666917971053e-05
CiteSeer,feature_similar_cross_class,1,feature_vs_hybrid,0.9405685016679324,0.0
CiteSeer,feature_similar_cross_class,2,feature_vs_raw_grad,0.050752103144355354,3.313616492646821e-08
CiteSeer,feature_similar_cross_class,2,feature_vs_pos_grad,0.06757343454219346,1.8590995664196897e-13
CiteSeer,feature_similar_cross_class,2,feature_vs_neg_grad,0.01261473175086592,0.17000336079047929
CiteSeer,feature_similar_cross_class,2,feature_vs_hybrid,0.9358301184583684,0.0
CiteSeer,feature_similar_cross_class,3,feature_vs_raw_grad,0.0409157005432935,8.492547436554622e-06
CiteSeer,feature_similar_cross_class,3,feature_vs_pos_grad,0.05046975118468794,3.9464434860881825e-08
CiteSeer,feature_similar_cross_class,3,feature_vs_neg_grad,0.005447492531973754,0.5534871286893945
CiteSeer,feature_similar_cross_class,3,feature_vs_hybrid,0.9370969449777086,0.0
CiteSeer,feature_similar_cross_class,4,feature_vs_raw_grad,0.056162208786794954,9.732253067078703e-10
CiteSeer,feature_similar_cross_class,4,feature_vs_pos_grad,0.07256556407712436,2.7102047233972868e-15
CiteSeer,feature_similar_cross_class,4,feature_vs_neg_grad,0.012319839776094212,0.18020858612573112
CiteSeer,feature_similar_cross_class,4,feature_vs_hybrid,0.9343341334254315,0.0
