dataset,noise_type,seed,score,auc
Cora,cross_class_oracle,9,shuffled_hybrid,0.6796271343617064
Cora,low_feature_similarity,0,feature_risk,0.9458128078817734
Cora,low_feature_similarity,0,raw_grad,0.4961306596446661
Cora,low_feature_similarity,0,pos_grad,0.48578577819897223
Cora,low_feature_similarity,0,neg_grad,0.489924939623515
Cora,low_feature_similarity,0,hybrid,0.9080795693730541
Cora,low_feature_similarity,0,shuffled_hybrid,0.900392204784781
Cora,low_feature_similarity,1,feature_risk,0.9458128078817734
Cora,low_feature_similarity,1,raw_grad,0.4915480551099847
Cora,low_feature_similarity,1,pos_grad,0.477510986138483
Cora,low_feature_similarity,1,neg_grad,0.48356217431467396
Cora,low_feature_similarity,1,hybrid,0.9080458772717034
Cora,low_feature_similarity,1,shuffled_hybrid,0.9036846352288443
Cora,low_feature_similarity,2,feature_risk,0.9458128078817734
Cora,low_feature_similarity,2,raw_grad,0.491837415204222
Cora,low_feature_similarity,2,pos_grad,0.4773358829616591
Cora,low_feature_similarity,2,neg_grad,0.48351630398485995
Cora,low_feature_similarity,2,hybrid,0.9033572892352599
Cora,low_feature_similarity,2,shuffled_hybrid,0.8996515171499379
Cora,low_feature_similarity,3,feature_risk,0.9458128078817734
Cora,low_feature_similarity,3,raw_grad,0.48929861363286553
Cora,low_feature_similarity,3,pos_grad,0.4763127322391161
Cora,low_feature_similarity,3,neg_grad,0.48659984938493656
Cora,low_feature_similarity,3,hybrid,0.9067497187936338
Cora,low_feature_similarity,3,shuffled_hybrid,0.902402899124532
Cora,low_feature_similarity,4,feature_risk,0.9458128078817734
Cora,low_feature_similarity,4,raw_grad,0.4797723215856615
Cora,low_feature_similarity,4,pos_grad,0.4656751544031807
Cora,low_feature_similarity,4,neg_grad,0.48429039946264985
Cora,low_feature_similarity,4,hybrid,0.8951413237034167
Cora,low_feature_similarity,4,shuffled_hybrid,0.8958295881041868
Cora,low_feature_similarity,5,feature_risk,0.9458128078817734
Cora,low_feature_similarity,5,raw_grad,0.49205390042027153
Cora,low_feature_similarity,5,pos_grad,0.47437195050576453
Cora,low_feature_similarity,5,neg_grad,0.4764226355146586
Cora,low_feature_similarity,5,hybrid,0.9048542239123196
Cora,low_feature_similarity,5,shuffled_hybrid,0.8982396206185606
Cora,low_feature_similarity,6,feature_risk,0.9458128078817734
Cora,low_feature_similarity,6,raw_grad,0.49796684924633805
Cora,low_feature_similarity,6,pos_grad,0.48374920138349464
Cora,low_feature_similarity,6,neg_grad,0.48146496069334643
Cora,low_feature_similarity,6,hybrid,0.9086606533945721
Cora,low_feature_similarity,6,shuffled_hybrid,0.9025949979617176
Cora,low_feature_similarity,7,feature_risk,0.9458128078817734
Cora,low_feature_similarity,7,raw_grad,0.49762150520749426
Cora,low_feature_similarity,7,pos_grad,0.48529679390032926
Cora,low_feature_similarity,7,neg_grad,0.48446622076596807
Cora,low_feature_similarity,7,hybrid,0.9134928068859713
Cora,low_feature_similarity,7,shuffled_hybrid,0.9057065203731289
Cora,low_feature_similarity,8,feature_risk,0.9458128078817734
Cora,low_feature_similarity,8,raw_grad,0.4829735050820615
Cora,low_feature_similarity,8,pos_grad,0.47128803108147205
Cora,low_feature_similarity,8,neg_grad,0.4884570741084998
Cora,low_feature_similarity,8,hybrid,0.8994318901304763
Cora,low_feature_similarity,8,shuffled_hybrid,0.8974996511102117
Cora,low_feature_similarity,9,feature_risk,0.9458128078817734
Cora,low_feature_similarity,9,raw_grad,0.4985564610199742
Cora,low_feature_similarity,9,pos_grad,0.48657483464539025
Cora,low_feature_similarity,9,neg_grad,0.4841431835313488
Cora,low_feature_similarity,9,hybrid,0.9030253951072126
Cora,low_feature_similarity,9,shuffled_hybrid,0.8979033578876738
CiteSeer,feature_similar_cross_class,0,feature_risk,0.7585615870655414
CiteSeer,feature_similar_cross_class,0,raw_grad,0.47471093091150207
CiteSeer,feature_similar_cross_class,0,pos_grad,0.4659109709856635
CiteSeer,feature_similar_cross_class,0,neg_grad,0.4916808294224814
CiteSeer,feature_similar_cross_class,0,hybrid,0.6013915712290054
CiteSeer,feature_similar_cross_class,0,shuffled_hybrid,0.6009307183736007
CiteSeer,feature_similar_cross_class,1,feature_risk,0.7527943278162961
CiteSeer,feature_similar_cross_class,1,raw_grad,0.5021390187141505
CiteSeer,feature_similar_cross_class,1,pos_grad,0.4963230548742411
CiteSeer,feature_similar_cross_class,1,neg_grad,0.4935825817416327
CiteSeer,feature_similar_cross_class,1,hybrid,0.6112666331910619
CiteSeer,feature_similar_cross_class,1,shuffled_hybrid,0.609581506659714
CiteSeer,feature_similar_cross_class,2,feature_risk,0.7602281652149843
CiteSeer,feature_similar_cross_class,2,raw_grad,0.4796425875676754
CiteSeer,feature_similar_cross_class,2,pos_grad,0.46741061369796
CiteSeer,feature_similar_cross_class,2,neg_grad,0.48768455841171127
CiteSeer,feature_similar_cross_class,2,hybrid,0.6115591423807593
CiteSeer,feature_similar_cross_class,2,shuffled_hybrid,0.6107871112484469
CiteSeer,feature_similar_cross_class,3,feature_risk,0.7566564147627417
CiteSeer,feature_similar_cross_class,3,raw_grad,0.4821905960910795
CiteSeer,feature_similar_cross_class,3,pos_grad,0.4693788746402982
CiteSeer,feature_similar_cross_class,3,neg_grad,0.48637400056007263
CiteSeer,feature_similar_cross_class,3,hybrid,0.6033337195903102
CiteSeer,feature_similar_cross_class,3,shuffled_hybrid,0.5997202855726581
CiteSeer,feature_similar_cross_class,4,feature_risk,0.7566938736424678
CiteSeer,feature_similar_cross_class,4,raw_grad,0.48257633001152334
CiteSeer,feature_similar_cross_class,4,pos_grad,0.46812720086006554
CiteSeer,feature_similar_cross_class,4,neg_grad,0.4843659068670053
CiteSeer,feature_similar_cross_class,4,hybrid,0.6053240696035072
CiteSeer,feature_similar_cross_class,4,shuffled_hybrid,0.6009118078757797
CiteSeer,feature_similar_cross_class,5,feature_risk,0.7577443316788659
CiteSeer,feature_similar_cross_class,5,raw_grad,0.4762181579404778
CiteSeer,feature_similar_cross_class,5,pos_grad,0.4675849322762768
CiteSeer,feature_similar_cross_class,5,neg_grad,0.4914144529313686
CiteSeer,feature_similar_cross_class,5,hybrid,0.6003787732478417
CiteSeer,feature_similar_cross_class,5,shuffled_hybrid,0.6002696556519052
CiteSeer,feature_similar_cross_class,6,feature_risk,0.7569316630937897
CiteSeer,feature_similar_cross_class,6,raw_grad,0.4811069642132911
CiteSeer,feature_similar_cross_class,6,pos_grad,0.47877411289647664
CiteSeer,feature_similar_cross_class,6,neg_grad,0.4985489612906133
CiteSeer,feature_similar_cross_class,6,hybrid,0.5942652909480678
