dataset,noise_type,seed,score,residual_auc,residual_direction,residual_spearman,residual_spearman_p
Cora,cross_class_oracle,1,hybrid,0.7916116003281359,negative,-0.4255819057511429,0.0
Cora,cross_class_oracle,2,raw_grad,0.5644601262657878,negative,-0.09409839414463572,2.2847201964450917e-28
Cora,cross_class_oracle,2,pos_grad,0.6115777669952415,negative,-0.1629298966847114,2.907473849088338e-82
Cora,cross_class_oracle,2,hybrid,0.8283930220127314,negative,-0.4792612090846593,0.0
Cora,cross_class_oracle,3,raw_grad,0.5508869520485395,negative,-0.07427602630516895,2.985430485476966e-18
Cora,cross_class_oracle,3,pos_grad,0.6137774782126406,negative,-0.1661328517530595,1.689151144672444e-85
Cora,cross_class_oracle,3,hybrid,0.7666719648443567,negative,-0.38918466506419,0.0
Cora,cross_class_oracle,4,raw_grad,0.5431626338677551,negative,-0.06300211174871757,1.5041258821967262e-13
Cora,cross_class_oracle,4,pos_grad,0.5970076835944241,negative,-0.14162783852637348,2.0595503671100354e-62
Cora,cross_class_oracle,4,hybrid,0.8103488371257992,negative,-0.45292728206107263,0.0
Cora,cross_class_oracle,5,raw_grad,0.538448522418832,negative,-0.05612046288250798,4.749317687912362e-11
Cora,cross_class_oracle,5,pos_grad,0.5871765169285155,negative,-0.12726987928425942,1.187412972333105e-50
Cora,cross_class_oracle,5,hybrid,0.8193686255800965,negative,-0.46609088308190333,0.0
Cora,cross_class_oracle,6,raw_grad,0.5368028308307025,negative,-0.05371826426303113,3.042821997832045e-10
Cora,cross_class_oracle,6,pos_grad,0.5921353150193522,negative,-0.13451923898468252,1.9863377288429316e-56
Cora,cross_class_oracle,6,hybrid,0.7932561698436184,negative,-0.4279820126331871,0.0
Cora,cross_class_oracle,7,raw_grad,0.5519346237986641,negative,-0.07580469730403286,6.01159932779454e-19
Cora,cross_class_oracle,7,pos_grad,0.6075335179556758,negative,-0.15699941352318342,1.908448462729236e-76
Cora,cross_class_oracle,7,hybrid,0.7979540336806114,negative,-0.43483813855276127,0.0
Cora,cross_class_oracle,8,raw_grad,0.5532263388690513,negative,-0.07769512383354872,7.923126792127076e-20
Cora,cross_class_oracle,8,pos_grad,0.6059750488146485,negative,-0.15473457112116887,2.7718732123087537e-74
Cora,cross_class_oracle,8,hybrid,0.8191403810427054,negative,-0.46575777992746414,0.0
Cora,cross_class_oracle,9,raw_grad,0.5375660945672055,negative,-0.05483065641370851,1.3000612360948476e-10
Cora,cross_class_oracle,9,pos_grad,0.5904799885674262,negative,-0.13209332914128671,1.8521583205579382e-54
Cora,cross_class_oracle,9,hybrid,0.8037723543801049,negative,-0.4433294743417952,0.0
Cora,low_feature_similarity,0,raw_grad,0.5991412673304868,negative,-0.14488516695303658,2.9191477201461076e-65
Cora,low_feature_similarity,0,pos_grad,0.6793603054862232,negative,-0.26262711009437784,3.1239546949769856e-215
Cora,low_feature_similarity,0,hybrid,0.5221949560231304,negative,-0.03239161841185344,0.00014762277515105522
Cora,low_feature_similarity,1,raw_grad,0.6040893683287545,negative,-0.15212488559711512,7.824360419626477e-72
Cora,low_feature_similarity,1,pos_grad,0.6860992643512194,negative,-0.27249669471937904,3.389281442386622e-232
