test_acc,test_f1,val_acc,runtime,num_edges_after,actual_prune_ratio,dataset,noise_type,noise_ratio,seed,method,downstream_model
0.635,0.6215577128003871,0.614,0.5617454051971436,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,Random-Matched,GCN
0.603,0.585995983524871,0.592,0.34504151344299316,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,GCN-Jaccard,GCN
0.641,0.6251796351756498,0.644,0.2584872245788574,10524,0.23305640577175335,Cora,feature_similar_cross_class,0.3,7,DegreeAwareRandom,GCN
0.662,0.6485422066430784,0.636,2.895503282546997,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,StabilityResidual-frozen,GCN
0.636,0.6240839139094018,0.612,0.9283318519592285,10628,0.22547733566535488,Cora,feature_similar_cross_class,0.3,7,IDGL-Proxy,GCN
0.658,0.6382702109978088,0.636,0.950444221496582,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,ProGNN-Proxy,GCN
0.685,0.6809032936123948,0.644,3.3497066497802734,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,LDS-Proxy,GCN
0.615,0.6059409040510252,0.614,0.5669245719909668,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,8,Feature-only,GCN
0.632,0.6196017578178179,0.632,0.5471456050872803,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,8,Random-Matched,GCN
0.617,0.6051662182179608,0.626,0.3392775058746338,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,8,GCN-Jaccard,GCN
0.659,0.643587099412449,0.652,0.26015281677246094,10522,0.2332021571199534,Cora,feature_similar_cross_class,0.3,8,DegreeAwareRandom,GCN
0.672,0.6580231585820598,0.664,2.6780741214752197,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,8,StabilityResidual-frozen,GCN
0.643,0.6233919671208011,0.65,0.953465461730957,10080,0.26541320507214694,Cora,feature_similar_cross_class,0.3,8,IDGL-Proxy,GCN
0.652,0.6442815519588301,0.654,0.9085407257080078,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,8,ProGNN-Proxy,GCN
0.688,0.6800971413364438,0.69,3.36480450630188,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,8,LDS-Proxy,GCN
0.632,0.6241265461871156,0.602,0.7702078819274902,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,9,Feature-only,GCN
0.65,0.6438802923131245,0.614,0.5627262592315674,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,9,Random-Matched,GCN
0.628,0.6199311890749354,0.61,0.5710995197296143,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,9,GCN-Jaccard,GCN
0.651,0.6476138574731076,0.64,0.6503486633300781,10500,0.23480542195015308,Cora,feature_similar_cross_class,0.3,9,DegreeAwareRandom,GCN
0.655,0.6466327800640747,0.626,2.9021379947662354,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,9,StabilityResidual-frozen,GCN
0.672,0.6589223586339896,0.616,0.8668768405914307,10398,0.2422387407083516,Cora,feature_similar_cross_class,0.3,9,IDGL-Proxy,GCN
0.656,0.6525791813129833,0.61,1.2148692607879639,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,9,ProGNN-Proxy,GCN
0.69,0.6838018881992552,0.67,3.5234835147857666,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,9,LDS-Proxy,GCN
0.553,0.533075373167848,0.548,0.629467248916626,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,0,Feature-only,GCN
0.556,0.5375341636822164,0.548,0.7774813175201416,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,0,Random-Matched,GCN
0.561,0.5445109437069454,0.558,0.4998137950897217,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,0,GCN-Jaccard,GCN
0.565,0.5433958239513573,0.542,0.5000815391540527,9860,0.16680750380260267,CiteSeer,feature_similar_cross_class,0.3,0,DegreeAwareRandom,GCN
0.558,0.538986976848966,0.556,2.7545464038848877,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,0,StabilityResidual-frozen,GCN
0.573,0.5506101416996604,0.564,0.8992910385131836,12483,-0.0548419807334799,CiteSeer,feature_similar_cross_class,0.3,0,IDGL-Proxy,GCN
0.554,0.5341395044650535,0.56,1.8393027782440186,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,0,ProGNN-Proxy,GCN
0.568,0.5435610982844445,0.548,3.6753759384155273,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,0,LDS-Proxy,GCN
0.561,0.5416276166305156,0.554,0.7492363452911377,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,1,Feature-only,GCN
0.544,0.5229675446266416,0.55,0.6440510749816895,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,1,Random-Matched,GCN
0.554,0.5352065261399873,0.552,0.5425498485565186,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,1,GCN-Jaccard,GCN
0.566,0.5440168997199591,0.544,0.5199058055877686,9884,0.1647794490451242,CiteSeer,feature_similar_cross_class,0.3,1,DegreeAwareRandom,GCN
0.57,0.5546478287094471,0.544,3.052110433578491,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,1,StabilityResidual-frozen,GCN
0.577,0.5523127296360294,0.562,1.0228855609893799,12419,-0.04943383471353724,CiteSeer,feature_similar_cross_class,0.3,1,IDGL-Proxy,GCN
0.551,0.533025289545089,0.536,1.8278565406799316,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,1,ProGNN-Proxy,GCN
0.564,0.5432351352736815,0.558,3.5822324752807617,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,1,LDS-Proxy,GCN
0.554,0.5340266471131884,0.592,0.888869047164917,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,2,Feature-only,GCN
0.544,0.5229045705404278,0.562,0.9308278560638428,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,2,Random-Matched,GCN
0.55,0.5281894313248932,0.594,0.6785340309143066,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,2,GCN-Jaccard,GCN
0.546,0.5255509613425855,0.588,0.530010461807251,9882,0.1649484536082474,CiteSeer,feature_similar_cross_class,0.3,2,DegreeAwareRandom,GCN
0.534,0.5164668515256915,0.598,3.021803855895996,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,2,StabilityResidual-frozen,GCN
0.57,0.5483481170799044,0.592,1.3628511428833008,12731,-0.07579854656075713,CiteSeer,feature_similar_cross_class,0.3,2,IDGL-Proxy,GCN
0.537,0.5213813624013509,0.548,1.705854892730713,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,2,ProGNN-Proxy,GCN
0.567,0.5463516555954774,0.598,3.7222108840942383,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,2,LDS-Proxy,GCN
0.583,0.5674942591819169,0.57,0.8056974411010742,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,3,Feature-only,GCN
0.54,0.5228585484148777,0.574,0.7070596218109131,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,3,Random-Matched,GCN
0.582,0.5651871708028852,0.572,0.5718388557434082,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,3,GCN-Jaccard,GCN
0.557,0.5385052886166825,0.558,0.3574695587158203,9850,0.16765252661821872,CiteSeer,feature_similar_cross_class,0.3,3,DegreeAwareRandom,GCN
0.571,0.5595000131622475,0.568,2.9246487617492676,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,3,StabilityResidual-frozen,GCN
0.562,0.5433509237578594,0.572,0.6624660491943359,12421,-0.04960283927666054,CiteSeer,feature_similar_cross_class,0.3,3,IDGL-Proxy,GCN
0.558,0.5277171514439095,0.582,1.6221015453338623,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,3,ProGNN-Proxy,GCN
0.545,0.5210174579811656,0.568,3.4728386402130127,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,3,LDS-Proxy,GCN
0.536,0.5235756784921813,0.57,0.5267894268035889,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,4,Feature-only,GCN
0.549,0.5312662204535548,0.584,0.6577978134155273,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,4,Random-Matched,GCN
0.525,0.5127077819804788,0.564,0.3789083957672119,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,4,GCN-Jaccard,GCN
0.555,0.5274781740086988,0.584,0.5649256706237793,9856,0.16714551292884905,CiteSeer,feature_similar_cross_class,0.3,4,DegreeAwareRandom,GCN
0.551,0.5370841148294486,0.588,3.0634310245513916,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,4,StabilityResidual-frozen,GCN
0.558,0.5359833781637747,0.608,0.812575101852417,12615,-0.06599628189961138,CiteSeer,feature_similar_cross_class,0.3,4,IDGL-Proxy,GCN
0.534,0.515483193930204,0.574,1.8045709133148193,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,4,ProGNN-Proxy,GCN
