dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_gate_type,hp_tau_quantile,hp_checkpoint_control,diag_gate_type,diag_tau,diag_tau_quantile,diag_soft_k,diag_feature_sim_mean,diag_gate_active_fraction,diag_gate_mean,diag_dynamic_contribution_mean,diag_dynamic_contribution_abs_mean
Cora,low_feature_similarity,0.3,2,Feature-only,feature_only,GCN,0.694,0.6903163091322939,0.68,0.5830903790087464,0.505369551484523,0.5414551607445008,0.19997084973036006,0.6561725735664368,0.720896303653717,13722,10978,0.7773735523223877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.72,0.7168759131677328,0.69,0.6239067055393586,0.5407454200884396,0.5793570219966159,0.19997084973036006,0.6561725735664368,0.7298232913017273,13722,10978,1.7589004039764404,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.871027410030365,1.1929230936402746e-07,6.51738730539364e-07,5.32446449597046e-07,0.2999999523162842,0.25629857182502747,0.9035425658707511,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.716,0.7158151783056479,0.678,0.5138483965014577,0.44535691724573595,0.4771573604060914,0.19997084973036006,0.6561725735664368,0.7116050124168396,13722,10978,2.152442216873169,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.3146880865097046,0.31600427627563477,0.7120600607487139,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.4555114091763244e-07,0.9181241393089294,0.6178113222122192,0.4999999701976776,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,2,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.765,0.7572323241239245,0.748,1.0,0.866708780795957,0.9285956006768189,0.19997084973036006,0.6561725735664368,0.7832027673721313,13722,10978,2.603253126144409,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.4300878047943115,0.3723966181278229,0.9999999999999999,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,1.2859291587119515e-07,0.9141524434089661,0.5873540043830872,0.4999999403953552,hard,0.5,real,hard,0.10540926456451416,0.5,20.0,0.12897257506847382,0.5019676089286804,0.5019676089286804,-0.06991217285394669,0.08218277990818024
Cora,low_feature_similarity,0.3,2,Random-Matched,random_matched,GCN,0.68,0.679527158577396,0.66,0.22813411078717202,0.19772583701831964,0.21184433164128597,0.19997084973036006,0.6561725735664368,0.6576789617538452,13722,10978,0.9707562923431396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,3,Feature-only,feature_only,GCN,0.714,0.7071156018129532,0.7,0.5830903790087464,0.505369551484523,0.5414551607445008,0.19997084973036006,0.6574842929840088,0.7238112688064575,13722,10978,0.8706104755401611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,3,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.705,0.6965677480671111,0.66,0.6348396501457726,0.5502210991787745,0.5895093062605753,0.19997084973036006,0.6574842929840088,0.7281836271286011,13722,10978,1.2250263690948486,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.871027410030365,4.961340891895816e-06,3.220377038815059e-05,2.724242767726537e-05,0.2999999523162842,0.2609407305717468,0.9066159677340978,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,3,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.722,0.7185334193534493,0.7,0.5561224489795918,0.4819962097283639,0.5164128595600678,0.19997084973036006,0.6574842929840088,0.7232646942138672,13722,10978,2.1245739459991455,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.32429638504981995,0.3281407058238983,0.7798848938980073,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.2614324873538862e-07,0.8979375958442688,0.5348062515258789,0.4999999701976776,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,3,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.767,0.7619546619601836,0.752,1.0,0.866708780795957,0.9285956006768189,0.19997084973036006,0.6574842929840088,0.7839314937591553,13722,10978,2.7227578163146973,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.4279593229293823,0.37966519594192505,1.0,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,9.0380623873898e-08,0.9022008180618286,0.5439397692680359,0.4999999701976776,hard,0.5,real,hard,0.10540926456451416,0.5,20.0,0.12897257506847382,0.5019676089286804,0.5019676089286804,-0.07204066962003708,0.08530570566654205
Cora,low_feature_similarity,0.3,3,Random-Matched,random_matched,GCN,0.693,0.678253234555469,0.67,0.2259475218658892,0.19583070120025267,0.2098138747884941,0.19997084973036006,0.6574842929840088,0.6582255363464355,13722,10978,0.7647533416748047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,4,Feature-only,feature_only,GCN,0.728,0.7137843769754827,0.716,0.5830903790087464,0.505369551484523,0.5414551607445008,0.19997084973036006,0.6570470333099365,0.7229003310203552,13722,10978,0.7998058795928955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,4,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.736,0.7285028407149255,0.692,0.5932944606413995,0.5142135186355022,0.5509306260575295,0.19997084973036006,0.6570470333099365,0.721260666847229,13722,10978,1.420060634613037,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.871027410030365,6.361675985999682e-08,6.410735977624427e-07,5.774568307970185e-07,0.2999999523162842,0.25502631068229675,0.8951397677626793,,,,,,,,,,,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,4,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.724,0.7180973911885434,0.694,0.5495626822157434,0.476310802274163,0.510321489001692,0.19997084973036006,0.6570470333099365,0.7196210622787476,13722,10978,2.133686065673828,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.3288692533969879,0.3177066445350647,0.7510665375315647,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.0393659977125935e-07,0.9013991951942444,0.546961784362793,0.4999999701976776,,,,,,,,,,,,
Cora,low_feature_similarity,0.3,4,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.772,0.7630601221453331,0.754,1.0,0.866708780795957,0.9285956006768189,0.19997084973036006,0.6570470333099365,0.7841136455535889,13722,10978,2.5806167125701904,0.1,0.5,0.3,,0.1,0.5,,0.871027410030365,,,,0.4360763430595398,0.36913129687309265,1.0,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,9.396431721597764e-08,0.8878078460693359,0.5310439467430115,0.4999999701976776,hard,0.5,real,hard,0.10540926456451416,0.5,20.0,0.12897257506847382,0.5019676089286804,0.5019676089286804,-0.06392359733581543,0.0792272761464119
Cora,low_feature_similarity,0.3,4,Random-Matched,random_matched,GCN,0.698,0.6849107492618477,0.682,0.22157434402332363,0.19204042956411876,0.20575296108291033,0.19997084973036006,0.6570470333099365,0.6573145985603333,13722,10978,0.7951653003692627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,degree_aligned_random,0.3,0,Feature-only,feature_only,GCN,0.742,0.7260814710595324,0.714,0.5036443148688047,0.43651295009475677,0.46768189509306257,0.19997084973036006,0.6621483564376831,0.7172526717185974,13722,10978,0.784919023513794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
