dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_num_views,hp_edge_dropout_rates,hp_total_epochs,hp_use_gradient_confidence,hp_score_ratio,hp_checkpoint_control,hp_skip_residualization,diag_method,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_risk_mean,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_edge_score_auc,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc,diag_skipped_residualization,diag_shuffled_residual,hp_gradient_abstention_threshold,diag_gradient_confidence_mean,diag_gradient_confidence_std
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v3-dp0.15-nograd,stability_residual,GCN,0.677,0.6656722164776535,0.65,0.30466472303207,0.2640555906506633,0.28291032148900175,0.19997084973036006,0.6230869889259338,0.6642375588417053,13722,10978,1.6366171836853027,3.0,"[0.05, 0.1, 0.15]",200.0,False,0.3,real,,stability_residual,3.0,False,0.1,False,0.8429648280143738,0.15703511238098145,0.7453085780143738,0.40538260340690613,0.5,0.6503236889839172,0.058923956006765366,0.777672290802002,0.00015163597709033638,0.4999999403953552,0.2887066900730133,0.0,0.75,0.3227989375591278,0.012314504943788052,0.5,0.0017989279003813863,0.67843127421732,0.6612144608174626,0.6625233959627408,0.6129795199898888,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v5-dp0.15-nograd,stability_residual,GCN,0.625,0.6131078609524117,0.628,0.2164723032069971,0.18761844598862917,0.2010152284263959,0.19997084973036006,0.6230869889259338,0.635088324546814,13722,10978,2.037116289138794,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.8429648280143738,0.15703511238098145,0.47711965441703796,0.10863348096609116,0.5,1.2405942678451538,0.2632121741771698,0.5160185098648071,0.006693042349070311,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3224872648715973,-0.0818139985203743,0.5,0.000755887187551707,0.6179475489983691,0.5188815802229878,0.5097468316857516,0.6129795199898888,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v7-dp0.15-nograd,stability_residual,GCN,0.657,0.6463806669043365,0.654,0.2915451895043732,0.2526847757422615,0.2707275803722504,0.19997084973036006,0.6230869889259338,0.6589542627334595,13722,10978,2.239680767059326,7.0,"[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3]",200.0,False,0.3,real,,stability_residual,7.0,False,0.1,False,0.8429648280143738,0.15703511238098145,0.7469237446784973,0.4055205285549164,0.5,0.6723631024360657,0.0904930830001831,0.7685200572013855,0.00013506010873243213,0.4999999701976776,0.2887066900730133,0.0,0.75,0.32279157638549805,0.011621960438787937,0.5,0.001429848955012858,0.6785507225908473,0.6635501373177545,0.6647833400398369,0.6129795199898888,,,,,
Cora,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.665,0.656838535523365,0.684,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,0.9421675205230713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.592,0.5829251780813002,0.566,0.08965014577259475,0.07770056854074542,0.083248730964467,0.19997084973036006,0.6230869889259338,0.6072143912315369,13722,10978,0.7486827373504639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-residualized-v5-dp0.15-nograd,stability_residual,GCN,0.623,0.6193380093993576,0.592,0.2725947521865889,0.23626026531901453,0.2531302876480541,0.19997084973036006,0.6230869889259338,0.6482054591178894,13722,10978,1.8304550647735596,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,False,stability_residual,5.0,False,0.1,False,0.8429141044616699,0.15708589553833008,0.5920102000236511,0.2149248719215393,0.5,1.3811485767364502,0.17335672676563263,0.482069194316864,3.3703767257975414e-05,0.4999999403953552,0.2887066900730133,0.0,0.75,0.32276952266693115,0.005805706139653921,0.5,-0.0002582975139375776,0.6488782744473598,0.5973249608561217,0.597954189274685,0.6125906245713681,,,,,
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-raw-v5-dp0.15-nograd,stability_residual,GCN,0.619,0.6198861436985943,0.578,0.25801749271137026,0.22362602653190145,0.2395939086294416,0.19997084973036006,0.6230869889259338,0.6440153121948242,13722,10978,1.8802940845489502,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,True,stability_residual,5.0,False,0.1,True,0.8429141044616699,0.15708589553833008,0.5857177972793579,0.20705954730510712,0.5,1.3821864128112793,0.1705755740404129,0.481808066368103,-1.0,0.4999999701976776,0.2887066900730133,0.0,0.75,0.32310983538627625,,0.5,,0.6461723738173952,0.5911005695461224,0.591100509702248,0.6125906245713681,True,,,,
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-shuffled-residual-v5,stability_residual,GCN,0.627,0.6199759133762834,0.596,0.16982507288629736,0.14718888186986734,0.15769881556683588,0.19997084973036006,0.6230869889259338,0.6254326701164246,13722,10978,2.257708787918091,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.8429141044616699,0.15708589553833008,0.5437372922897339,0.17010141909122467,0.5000000596046448,1.217088222503662,0.21709927916526794,0.5414094924926758,0.0010180642129853368,0.4999999701976776,0.2887066900730133,0.0,0.75,0.32266825437545776,-0.03190828114748001,0.5,-0.0002477160014677793,0.6334896016480525,0.5594983958250999,0.555997648853858,0.6125906245713681,,True,,,
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-v5-dp0.15-nograd,stability_residual,GCN,0.612,0.6085544502517131,0.584,0.25728862973760935,0.2229943145925458,0.238917089678511,0.19997084973036006,0.6230869889259338,0.6443796753883362,13722,10978,1.9289097785949707,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.8429141044616699,0.15708589553833008,0.5858932733535767,0.20748969912528992,0.5,1.3821817636489868,0.17071320116519928,0.48179131746292114,9.61713885772042e-06,0.4999999403953552,0.2887066900730133,0.0,0.75,0.3227657079696655,0.003101264126598835,0.5,-0.00028443464543670416,0.6464921196389164,0.5919034050446471,0.5922352094068826,0.6125906245713681,,,,,
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-v5-dp0.15-grad-real,stability_residual,GCN,0.621,0.614590473217947,0.59,0.2879008746355685,0.24952621604548325,0.2673434856175973,0.19997084973036006,0.6230869889259338,0.6518491506576538,13722,10978,2.916637897491455,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,real,,stability_residual,5.0,True,0.1,False,0.8429141044616699,0.15708589553833008,0.5846688151359558,0.2063976228237152,0.5,1.3829240798950195,0.170816570520401,0.48144179582595825,7.137216016417369e-06,0.4999999403953552,0.2887066900730133,0.10020405054092407,0.7252045273780823,0.3298831582069397,0.0026716541033238173,0.5,-0.00035175864468328655,0.6709570136661867,0.5907086819338764,0.5909867464967994,0.6125906245713681,,,0.1,0.942318856716156,0.13764773309230804
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-v5-dp0.15-grad-shuffled,stability_residual,GCN,0.607,0.5970342170984025,0.59,0.24489795918367346,0.2122552116234997,0.22741116751269036,0.19997084973036006,0.6230869889259338,0.6385498046875,13722,10978,2.992211103439331,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,shuffled,,stability_residual,5.0,True,0.1,False,0.8429141044616699,0.15708589553833008,0.5810678005218506,0.2001609355211258,0.5,1.3831781148910522,0.16877523064613342,0.4814154803752899,1.1474284633550269e-08,0.4999999701976776,0.2887066900730133,0.12009910494089127,0.719919741153717,0.32277712225914,-0.00010712198854889721,0.5,-5.052576671005227e-05,0.6388043959873965,0.5820639649630871,0.5820628279294714,0.6125906245713681,,,0.1,0.8350276350975037,0.1907232701778412
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.61,0.5934940671119456,0.586,0.26676384839650147,0.2312065698041693,0.24771573604060912,0.19997084973036006,0.6230869889259338,0.6460192799568176,13722,10978,3.0768964290618896,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,True,0.3,frozen,,stability_residual,5.0,True,0.1,False,0.8429141044616699,0.15708589553833008,0.541946291923523,0.1765967309474945,0.5000000596046448,1.2124204635620117,0.24338982999324799,0.5373703241348267,0.002917621284723282,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7257130742073059,0.33054012060165405,-0.05401697754859924,0.5,0.0010428784880787134,0.6621875521389757,0.5719536415835456,0.5659177285563239,0.6125906245713681,,,0.1,0.9999999403953552,0.0
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-v3-dp00-05-10-nograd,stability_residual,GCN,0.604,0.5971048195701174,0.57,0.2164723032069971,0.18761844598862917,0.2010152284263959,0.19997084973036006,0.6230869889259338,0.6338130831718445,13722,10978,1.5451302528381348,3.0,"[0.0, 0.05, 0.1]",200.0,False,0.3,real,,stability_residual,3.0,False,0.1,False,0.8429141044616699,0.15708589553833008,0.4712355136871338,0.09988262504339218,0.5,1.5798004865646362,0.14023344218730927,0.3832143247127533,0.007512729614973068,0.4999999701976776,0.2887066900730133,0.0,0.7499998807907104,0.3223571181297302,-0.08667916059494019,0.5,0.0015024086460471153,0.6233562982206979,0.535014980118668,0.5252253301407026,0.6125906245713681,,,,,
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-v5-dp00-10-15-20-30-nograd,stability_residual,GCN,0.607,0.6034201118728901,0.59,0.2456268221574344,0.21288692356285535,0.22808798646362097,0.19997084973036006,0.6230869889259338,0.6401894688606262,13722,10978,1.828172206878662,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",200.0,False,0.3,real,,stability_residual,5.0,False,0.1,False,0.8429141044616699,0.15708589553833008,0.5808916091918945,0.19975489377975464,0.5,1.3835675716400146,0.16849243640899658,0.48135191202163696,2.905848930367938e-07,0.4999999701976776,0.2887066900730133,0.0,0.75,0.32276222109794617,0.0005390789010562003,0.5,-0.00033097894629463553,0.6416232220085663,0.5807798351037945,0.5808256755116712,0.6125906245713681,,,,,
