dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_score_ratio,hp_lambda_pos,hp_lambda_neg,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_lambda_pos,diag_lambda_neg,diag_consistency_weight,diag_num_checkpoints,diag_feature_risk_mean,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,diag_mode,diag_degree_norm,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc
Wisconsin,degree_aligned_random,0.3,7,Random-Matched,random_matched,GCN,0.5686274509803921,0.3241784037558685,0.6125,0.24166666666666667,0.2116788321167883,0.22568093385214008,0.2016806722689075,0.19663865864276886,0.19999998807907104,1190,950,0.2093212604522705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,8,Feature-only,feature_only,GCN,0.5882352941176471,0.27368421052631575,0.65,0.35833333333333334,0.31386861313868614,0.33463035019455256,0.2016806722689075,0.2050420194864273,0.21052630245685577,1190,950,0.22494220733642578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,8,GCN-Jaccard,jaccard,GCN,0.45098039215686275,0.25333333333333335,0.625,0.325,0.2846715328467153,0.30350194552529186,0.2016806722689075,0.2050420194864273,0.21894735097885132,1190,950,0.1790025234222412,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,8,DegreeAwareRandom,degree_aware_random,GCN,0.49019607843137253,0.306113769271664,0.5375,0.32061068702290074,0.30656934306569344,0.31343283582089554,0.22016806722689075,0.2050420194864273,0.2090517282485962,1190,928,0.2512335777282715,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,8,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.5882352941176471,0.4152198625961745,0.6625,0.35833333333333334,0.31386861313868614,0.33463035019455256,0.2016806722689075,0.2050420194864273,0.21684210002422333,1190,950,0.9344463348388672,0.3,0.1,0.5,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,0.1,0.5,3.0,4.0,0.6595527529716492,-7.801787432981655e-05,0.7947478890419006,0.35242417454719543,0.5,0.30160093307495117,0.3754548728466034,0.6285101839161062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,8,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.6078431372549019,0.4209289617486339,0.6125,0.31666666666666665,0.2773722627737226,0.29571984435797666,0.2016806722689075,0.2050420194864273,0.20210525393486023,1190,950,0.40470194816589355,0.3,0.1,0.5,,,,,0.1,0.5,,,0.6595527529716492,,,,,0.30000001192092896,0.3013181984424591,0.614254295094508,feature_pos_neg,False,-8.036378858378157e-05,0.00048078224062919617,0.0005611460073851049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,8,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.6078431372549019,0.4236746143057504,0.625,0.475,0.41605839416058393,0.44357976653696496,0.2016806722689075,0.2050420194864273,0.21894735097885132,1190,950,1.2417709827423096,0.3,,,,,200.0,stability_residual,,,,,0.6595527529716492,,,,,,,0.6816689510088292,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.34044721722602844,0.9412314891815186,0.42912378907203674,0.5,0.39038723707199097,0.0735514909029007,0.8486089110374451,0.009791667573153973,0.5,0.28903928399086,0.10000000149011612,0.7266755700111389,0.33153408765792847,1.0,0.0,0.09899445623159409,0.5,-0.010245815850794315,0.5749729066394671,0.58821279444108,0.6612054951710069
Wisconsin,degree_aligned_random,0.3,8,Random-Matched,random_matched,GCN,0.6470588235294118,0.38081967213114754,0.5375,0.24166666666666667,0.2116788321167883,0.22568093385214008,0.2016806722689075,0.2050420194864273,0.21263156831264496,1190,950,0.22814726829528809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,9,Feature-only,feature_only,GCN,0.6078431372549019,0.39677672955974846,0.6875,0.39166666666666666,0.34306569343065696,0.3657587548638132,0.2016806722689075,0.2235294133424759,0.22947368025779724,1190,950,0.20991897583007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,9,GCN-Jaccard,jaccard,GCN,0.5686274509803921,0.3202622950819672,0.6875,0.35833333333333334,0.31386861313868614,0.33463035019455256,0.2016806722689075,0.2235294133424759,0.23368419706821442,1190,950,0.19747686386108398,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,degree_aligned_random,0.3,9,DegreeAwareRandom,degree_aware_random,GCN,0.49019607843137253,0.33401069518716586,0.6375,0.24060150375939848,0.23357664233576642,0.23703703703703705,0.22352941176470587,0.2235294133424759,0.23376622796058655,1190,924,0.22593927383422852,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
