dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_score_ratio,hp_lambda_pos,hp_lambda_neg,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc
PubMed,low_feature_similarity,0.3,5,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.707,0.7006476488606895,0.708,0.5664699757028809,0.4909378055200421,0.5260062044236735,0.19999652904323073,0.6775828003883362,0.7279649376869202,115242,92194,8.01994776725769,0.3,0.1,0.5,feature_pos_neg,0.1,0.5,False,0.7899752259254456,1.2507683777585044e-07,1.1576630640774965e-06,1.032586283145065e-06,0.30000001192092896,0.24529743194580078,0.8762696185635773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,5,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.709,0.7064148928204381,0.682,0.13311350225616106,0.1153643679025344,0.12360501188509729,0.19999652904323073,0.6775828003883362,0.6727336049079895,115242,92194,12.555740356445312,0.3,0.1,0.5,,0.1,0.5,,0.7899752259254456,,,,0.23503990471363068,0.27542176842689514,0.43331836417399583,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,6.247764527955724e-09,0.9835346341133118,0.8938267827033997,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,5,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.749,0.74899685712163,0.78,0.8631551544602568,0.7480634729638265,0.8014987309133395,0.19999652904323073,0.6775828003883362,0.7764062881469727,115242,92194,16.04725933074951,0.3,,,,,,,0.7899752259254456,,,,,,0.9743789937859523,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.21002475917339325,0.7076075673103333,0.4062718152999878,0.5,0.5153054594993591,0.027649300172924995,0.790198028087616,0.01626783423125744,0.4999999701976776,0.2886788845062256,0.10000693798065186,0.7260371446609497,0.33369871973991394,0.9999999403953552,0.0,0.12754598259925842,0.5,-0.008984978310763836,0.5627391206046404,0.6219203406690504,0.9984864311493744
PubMed,low_feature_similarity,0.3,5,Random-Matched,random_matched,GCN,0.67,0.6637145362168967,0.68,0.23498785144047205,0.2036549597653606,0.21820232867330083,0.19999652904323073,0.6775828003883362,0.6783738732337952,115242,92194,5.068626880645752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,6,Feature-only,feature_only,GCN,0.739,0.7326507441590898,0.754,0.991235682054842,0.85906595472663,0.920430280810604,0.19999652904323073,0.676715075969696,0.7798338532447815,115242,92194,5.165371417999268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,6,GCN-Jaccard,jaccard,GCN,0.758,0.7514329230386672,0.748,0.9591287747309962,0.8312401293524855,0.890616816405463,0.19999652904323073,0.676715075969696,0.7774258852005005,115242,92194,3.0770986080169678,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,6,DegreeAwareRandom,degree_aware_random,GCN,0.676,0.663443996043115,0.728,0.19337634974980247,0.22087688952395276,0.20621379673512374,0.2635844570555874,0.676715075969696,0.6654490232467651,115242,84866,2.920790433883667,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,6,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.711,0.7075488677030807,0.724,0.5832176327664006,0.5054523576746635,0.5415575520728415,0.19999652904323073,0.676715075969696,0.7302861213684082,115242,92194,8.2764310836792,0.3,0.1,0.5,feature_pos_neg,0.1,0.5,False,0.7899764180183411,3.2828658902417374e-08,1.8799235590449825e-07,1.5516368989665352e-07,0.30000001192092896,0.24812474846839905,0.8830279705478722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,6,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.676,0.6713501236271634,0.724,0.20262061784102742,0.17560351959088516,0.1881471334756859,0.19999652904323073,0.676715075969696,0.6802178025245667,115242,92194,12.69129204750061,0.3,0.1,0.5,,0.1,0.5,,0.7899764180183411,,,,0.26229792833328247,0.277410626411438,0.49487939136900516,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.2194931287012878e-08,0.9795820713043213,0.8926142454147339,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,6,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.733,0.7283357480773683,0.764,0.8890142311697328,0.7704745431300293,0.8255106562991015,0.19999652904323073,0.676715075969696,0.7752565145492554,115242,92194,16.312578916549683,0.3,,,,,,,0.7899764180183411,,,,,,0.9797561380436267,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.21002350747585297,0.7216438055038452,0.4163197875022888,0.5,0.5030660629272461,0.049629904329776764,0.794207751750946,0.02141166478395462,0.4999999701976776,0.2886788845062256,0.10000693798065186,0.7254371047019958,0.33423954248428345,0.9999999403953552,0.0,0.1463278830051422,0.5,-0.012746484950184822,0.595799116197133,0.6621022064703974,0.998488175366313
PubMed,low_feature_similarity,0.3,6,Random-Matched,random_matched,GCN,0.685,0.6745895695879492,0.722,0.2246615758417216,0.19470557268556818,0.20861367390516095,0.19999652904323073,0.676715075969696,0.6759008169174194,115242,92194,5.267595291137695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,7,Feature-only,feature_only,GCN,0.743,0.7395326152671116,0.764,0.991235682054842,0.85906595472663,0.920430280810604,0.19999652904323073,0.6757779121398926,0.7800941467285156,115242,92194,5.113214015960693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,7,GCN-Jaccard,jaccard,GCN,0.756,0.7521683402617009,0.75,0.957306490801805,0.8296608257501692,0.8889247008581442,0.19999652904323073,0.6757779121398926,0.7778380513191223,115242,92194,3.0314080715179443,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,7,DegreeAwareRandom,degree_aware_random,GCN,0.69,0.6839255379685071,0.702,0.19141063759497853,0.2178686921862074,0.20378446820483961,0.2626646535117405,0.6757779121398926,0.6666901707649231,115242,84972,2.7315003871917725,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,7,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.734,0.7306878490943635,0.738,0.5817424505380077,0.5041738738061217,0.5401877442488215,0.19999652904323073,0.6757779121398926,0.7286374568939209,115242,92194,8.308478116989136,0.3,0.1,0.5,feature_pos_neg,0.1,0.5,False,0.7899622917175293,1.7609569624710275e-07,1.3253878705654643e-06,1.1492921885292162e-06,0.30000001192092896,0.24885456264019012,0.8844579959882602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PubMed,low_feature_similarity,0.3,7,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.665,0.6602185558009367,0.698,0.2090419993057966,0.18116868466571406,0.19410982635671406,0.19999652904323073,0.6757779121398926,0.67930668592453,115242,92194,12.517869472503662,0.3,0.1,0.5,,0.1,0.5,,0.7899622917175293,,,,0.2619742155075073,0.28103867173194885,0.4948326080094292,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,3.9447991539987015e-09,0.9806494116783142,0.8918560147285461,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
