noise_type,method,test_acc_mean,test_acc_std,bad_edge_f1_mean
random_inter_community,GraGE-FO-absgrad,0.6545555555555556,0.08024978366187518,0.11716686086515612
random_inter_community,GraGE-FO-grad,0.6563333333333333,0.0766811580507232,0.09335139738149725
random_inter_community,GraGE-FO-neggrad,0.6364444444444444,0.08234851412003602,0.04612772556624571
random_inter_community,GraGE-Hybrid-FO-pos-lam0.25,0.6963333333333332,0.05549324283189801,0.5689333392787032
random_inter_community,GraGE-Hybrid-FO-pos-lam0.5,0.6968888888888889,0.05736602749982876,0.5197172442629115
random_inter_community,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.7,0.05334088488204895,0.6171587324669616
random_inter_community,GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,0.7031111111111111,0.06345755361744657,0.5956867967430469
random_inter_community,GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,0.6964444444444444,0.05724314612054244,0.5346382431772972
random_inter_community,GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,0.7006666666666667,0.05594416859691454,0.5530314164216765
random_inter_community,GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,0.7004444444444444,0.05471542540982183,0.555970989950904
