method,noise_type,delta_mean,delta_std,delta_count,test_acc_mean
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_similar_cross_class,0.0074444444444444514,0.012521093313995311,9,0.6160000000000001
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,low_feature_similarity,0.0017777777777777794,0.01442027893088219,9,0.6957777777777777
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,random_inter_community,0.003777777777777781,0.006704061787039595,9,0.7031111111111111
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,cross_class_oracle,-0.009333333333333341,0.015297058540778327,9,0.6563333333333333
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,degree_aligned_random,0.0,0.013774977313955925,9,0.708
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_similar_cross_class,0.0027777777777777926,0.02368954293447734,9,0.6113333333333333
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,low_feature_similarity,-0.0013333333333333346,0.006670832032063173,9,0.6926666666666667
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,random_inter_community,-0.0028888888888888914,0.010154364141151888,9,0.6964444444444444
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,cross_class_oracle,-0.007666666666666649,0.013702189606044695,9,0.658
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,degree_aligned_random,-0.0040000000000000036,0.014439529078193665,9,0.7040000000000001
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_similar_cross_class,-0.007111111111111105,0.027903603909013464,9,0.6014444444444444
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,low_feature_similarity,0.0,0.01002496882788172,9,0.694
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,random_inter_community,0.0013333333333333346,0.008108637370113435,9,0.7006666666666667
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,cross_class_oracle,-0.012222222222222221,0.009202958461519013,9,0.6534444444444445
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,degree_aligned_random,-0.0030000000000000027,0.013647344063956193,9,0.705
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_similar_cross_class,-0.008777777777777773,0.01471205099380929,9,0.5997777777777777
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,low_feature_similarity,0.0017777777777777794,0.011540989751509386,9,0.6957777777777777
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,random_inter_community,0.0011111111111111122,0.00677208321797002,9,0.7004444444444444
