method,noise_type,dataset,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_acc_mean,val_acc_std
GraGE-FO-absgrad,degree_aligned_random,Cora,0.6736666666666666,0.007371114795832005,0.6485457422074695,0.0014716351364414116,0.6593333333333334,0.02212088003071611
GraGE-FO-absgrad,degree_aligned_random,PubMed,0.7326666666666667,0.01289702808143543,0.7305299875815399,0.01641078406698501,0.7360000000000001,0.03616628264005028
GraGE-FO-absgrad,feature_similar_cross_class,CiteSeer,0.5216666666666666,0.0011547005383792366,0.5009952170827381,0.005657759966600777,0.5286666666666667,0.01724335620850342
GraGE-FO-absgrad,feature_similar_cross_class,Cora,0.623,0.00793725393319378,0.6044462215583041,0.0008779114720930465,0.6313333333333334,0.016289055630494185
GraGE-FO-absgrad,feature_similar_cross_class,PubMed,0.6446666666666667,0.009291573243177585,0.6406856664503215,0.00903832779808684,0.6506666666666666,0.0011547005383792605
GraGE-FO-absgrad,low_feature_similarity,CiteSeer,0.549,0.0079372539331938,0.5261536786742296,0.0021679004963340545,0.5640000000000001,0.0034641016151376455
GraGE-FO-absgrad,low_feature_similarity,Cora,0.6606666666666667,0.00611010092660778,0.6442510254789454,0.0012628784886435907,0.6566666666666667,0.02157158624981795
GraGE-FO-absgrad,low_feature_similarity,PubMed,0.6946666666666667,0.021779194965226123,0.688750489812111,0.026438203342932613,0.6946666666666667,0.030287511177601402
GraGE-FO-absgrad,random_inter_community,CiteSeer,0.5493333333333333,0.02548201980482186,0.5239879645292119,0.026709162321626827,0.5566666666666666,0.02484619353811224
GraGE-FO-absgrad,random_inter_community,Cora,0.7063333333333333,0.005859465277082337,0.6835719147809708,0.008726278811605278,0.6946666666666667,0.013012814197295408
GraGE-FO-absgrad,random_inter_community,PubMed,0.7079999999999999,0.012767145334803746,0.7027012132838736,0.013874702050815547,0.7173333333333334,0.022479620400116494
GraGE-FO-grad,cross_class_oracle,CiteSeer,0.54,0.016999999999999987,0.516674086185987,0.01898977683700695,0.5486666666666667,0.01665332799572907
GraGE-FO-grad,cross_class_oracle,Cora,0.6343333333333333,0.006027713773341756,0.6068469224967191,0.020304253579616016,0.6273333333333334,0.0141891977691952
GraGE-FO-grad,cross_class_oracle,PubMed,0.618,0.01100000000000001,0.60777443710715,0.012602711286599545,0.6106666666666666,0.017009801096230782
GraGE-FO-grad,degree_aligned_random,CiteSeer,0.5923333333333333,0.015373136743466959,0.5700292777321126,0.013363642087765045,0.576,0.008000000000000007
GraGE-FO-grad,degree_aligned_random,Cora,0.7106666666666666,0.015307950004273376,0.6946822828284334,0.02304899173693748,0.6859999999999999,0.017320508075688707
GraGE-FO-grad,degree_aligned_random,PubMed,0.7166666666666667,0.020550750189064448,0.7123093291133294,0.02110115037556716,0.7200000000000001,0.008000000000000007
GraGE-FO-grad,feature_similar_cross_class,CiteSeer,0.525,0.01442220510185597,0.5035161438516789,0.01548599075099372,0.5393333333333333,0.017925772879665014
GraGE-FO-grad,feature_similar_cross_class,Cora,0.632,0.02523885892824794,0.6176281659960479,0.03147158501940211,0.6273333333333334,0.025006665778014744
GraGE-FO-grad,feature_similar_cross_class,PubMed,0.631,0.01200000000000001,0.6293847555696325,0.014564301545920439,0.628,0.0034641016151377574
GraGE-FO-grad,low_feature_similarity,CiteSeer,0.5266666666666667,0.0185562208796224,0.5065510248991785,0.016135061539976323,0.5406666666666667,0.013613718571108088
GraGE-FO-grad,low_feature_similarity,Cora,0.6863333333333334,0.018583146486355125,0.6745068372367552,0.009295429278148571,0.6653333333333333,0.004163331998932284
GraGE-FO-grad,low_feature_similarity,PubMed,0.6996666666666665,0.006110100926607789,0.6951611293270631,0.001995392300273708,0.6953333333333332,0.02023198787399131
GraGE-FO-grad,random_inter_community,CiteSeer,0.5566666666666666,0.019347695814575214,0.5307217749149563,0.016875440248178376,0.5466666666666667,0.006429100507328652
GraGE-FO-grad,random_inter_community,Cora,0.7143333333333333,0.013650396819628874,0.6996680126759934,0.010638875806888742,0.6993333333333333,0.014742229591664015
GraGE-FO-grad,random_inter_community,PubMed,0.698,0.020223748416156626,0.6934077014138679,0.020535114481648933,0.7120000000000001,0.024576411454889036
GraGE-FO-neggrad,cross_class_oracle,CiteSeer,0.526,0.016822603841260705,0.5012048185564218,0.01544873550056103,0.524,0.02457641145488904
GraGE-FO-neggrad,cross_class_oracle,Cora,0.5876666666666667,0.018770544300401523,0.5589809083573263,0.005014111521013793,0.5433333333333333,0.018583146486355163
GraGE-FO-neggrad,cross_class_oracle,PubMed,0.6003333333333333,0.01301281419729542,0.5903091052522567,0.011203648187766417,0.61,0.019287301521985926
GraGE-FO-neggrad,degree_aligned_random,CiteSeer,0.5366666666666667,0.019655363983740785,0.5139763617141335,0.01550463236524445,0.5306666666666667,0.008326663997864522
GraGE-FO-neggrad,degree_aligned_random,Cora,0.6233333333333334,0.009712534856222314,0.6101069738785504,0.028566539282226442,0.5726666666666667,0.015275252316519395
GraGE-FO-neggrad,degree_aligned_random,PubMed,0.7079999999999999,0.015394804318340666,0.7010317874909511,0.0143319275737664,0.7120000000000001,0.03143246729100337
GraGE-FO-neggrad,feature_similar_cross_class,CiteSeer,0.512,0.020074859899884747,0.49206472492888764,0.017669154626083827,0.514,0.01216552506059645
GraGE-FO-neggrad,feature_similar_cross_class,Cora,0.586,0.021794494717703367,0.5779651338547653,0.02885209929310352,0.5386666666666667,0.027300793639257706
GraGE-FO-neggrad,feature_similar_cross_class,PubMed,0.624,0.02959729717389751,0.6191703585249019,0.027724147021826347,0.6326666666666667,0.01474222959166399
GraGE-FO-neggrad,low_feature_similarity,CiteSeer,0.5256666666666666,0.01750238079043342,0.5021824649841844,0.010990166274983686,0.5306666666666667,0.0046188021535170185
GraGE-FO-neggrad,low_feature_similarity,Cora,0.6556666666666667,0.010969655114602858,0.6466863848736191,0.009022473517304185,0.5986666666666666,0.028023799409311614
GraGE-FO-neggrad,low_feature_similarity,PubMed,0.6853333333333333,0.022854612955229215,0.681135762881688,0.025112823759517587,0.6873333333333332,0.044557079497351826
GraGE-FO-neggrad,random_inter_community,CiteSeer,0.5286666666666667,0.014153915830374826,0.5059873904393717,0.012202691875999582,0.5433333333333333,0.0144683562761405
GraGE-FO-neggrad,random_inter_community,Cora,0.695,0.024020824298928597,0.6942058906722339,0.022263206365366814,0.6506666666666666,0.01724335620850343
GraGE-FO-neggrad,random_inter_community,PubMed,0.6856666666666666,0.012096831541082652,0.681346592415719,0.014390685023645091,0.6946666666666667,0.010263202878893707
GraGE-Hybrid-FO-pos-lam0.25,cross_class_oracle,CiteSeer,0.605,0.024879710609249504,0.5776600663216652,0.02369651731052627,0.616,0.009165151389911688
GraGE-Hybrid-FO-pos-lam0.25,cross_class_oracle,Cora,0.6753333333333335,0.006350852961085929,0.6597812401541366,0.014912786203769549,0.6553333333333334,0.00832666399786455
GraGE-Hybrid-FO-pos-lam0.25,cross_class_oracle,PubMed,0.6956666666666665,0.004041451884327432,0.6890011230308345,0.0036292932091382575,0.71,0.01907878402833893
GraGE-Hybrid-FO-pos-lam0.25,degree_aligned_random,CiteSeer,0.6406666666666667,0.016502525059315435,0.6160423792021352,0.01398941260878672,0.6453333333333333,0.012055427546683425
GraGE-Hybrid-FO-pos-lam0.25,degree_aligned_random,Cora,0.7306666666666667,0.002309401076758497,0.7204021958420004,0.0035204811533516797,0.7073333333333333,0.012055427546683425
GraGE-Hybrid-FO-pos-lam0.25,degree_aligned_random,PubMed,0.7563333333333334,0.008386497083606042,0.7551841100275362,0.007549391096140826,0.7479999999999999,0.005291502622129186
GraGE-Hybrid-FO-pos-lam0.25,feature_similar_cross_class,CiteSeer,0.5586666666666668,0.017672954855748713,0.5401475965801007,0.017505983424698834,0.5673333333333334,0.0180369990112915
GraGE-Hybrid-FO-pos-lam0.25,feature_similar_cross_class,Cora,0.5923333333333333,0.01342882471898912,0.5822179253691815,0.011885615827191127,0.5866666666666666,0.012055427546683442
GraGE-Hybrid-FO-pos-lam0.25,feature_similar_cross_class,PubMed,0.6656666666666667,0.0005773502691896262,0.6648238458537273,0.005218090577954358,0.66,0.018330302779823376
GraGE-Hybrid-FO-pos-lam0.25,low_feature_similarity,CiteSeer,0.6303333333333333,0.02107921567168323,0.6063437036422877,0.023393447108898156,0.6466666666666666,0.008326663997864543
GraGE-Hybrid-FO-pos-lam0.25,low_feature_similarity,Cora,0.707,0.0034641016151377574,0.7024155138379156,0.007116311583712008,0.682,0.021071307505705385
GraGE-Hybrid-FO-pos-lam0.25,low_feature_similarity,PubMed,0.7473333333333333,0.012013880860626719,0.7420117664734843,0.010244523587818768,0.7513333333333333,0.024110855093366867
GraGE-Hybrid-FO-pos-lam0.25,random_inter_community,CiteSeer,0.6226666666666666,0.004509249752822924,0.594432509004603,0.004350746456390321,0.628,0.010392304845413272
GraGE-Hybrid-FO-pos-lam0.25,random_inter_community,Cora,0.7360000000000001,0.0036055512754639926,0.7301337403853686,0.0061856251434590104,0.7073333333333333,0.015143755588800727
GraGE-Hybrid-FO-pos-lam0.25,random_inter_community,PubMed,0.7303333333333333,0.007094598884597591,0.7262484174232681,0.006049566350871217,0.7313333333333333,0.003055050463303881
GraGE-Hybrid-FO-pos-lam0.5,cross_class_oracle,CiteSeer,0.6043333333333333,0.029280255007997025,0.5780843957519854,0.028740445858915817,0.6126666666666667,0.00986576572463251
