dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Cora,cross_class_oracle,0.3,6,Feature-only,feature_only,GCN,0.691,0.6654381648419941,0.674,0.5262390670553936,0.45609602021478207,0.488663282571912,0.19997084973036006,0.6230869889259338,0.6902896761894226,13722,10978,0.8050103187561035,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,6,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.683,0.6545545681694215,0.658,0.4096209912536443,0.35502210991787747,0.3803722504230118,0.19997084973036006,0.6230869889259338,0.6682455539703369,13722,10978,2.8554604053497314,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8587456941604614,5.861702902620891e-06,3.512743205646984e-05,2.9265731427585706e-05,0.29999998211860657,0.27993690967559814,0.6920718475982379,,,,,,,,,,
Cora,cross_class_oracle,0.3,6,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.652,0.6241856429393965,0.638,0.37099125364431484,0.3215413771320278,0.3445008460236887,0.19997084973036006,0.6230869889259338,0.6627801060676575,13722,10978,2.139070749282837,0.1,0.5,0.3,,0.1,0.5,,0.8587456941604614,,,,0.3224617838859558,0.3451889753341675,0.6568215912869233,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.3537773213556648e-07,0.8807024955749512,0.5060506463050842,0.4999999701976776
Cora,cross_class_oracle,0.3,6,DegreeAwareRandom,degree_aware_random,GCN,0.651,0.6164978991511239,0.632,0.2385377942998761,0.24320909665192672,0.24085079762277137,0.2352426759947529,0.6230869889259338,0.6264532208442688,13722,10494,0.5402374267578125,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,6,GCN-Jaccard,jaccard,GCN,0.693,0.6695014671646106,0.678,0.5153061224489796,0.44662034112444726,0.47851099830795263,0.19997084973036006,0.6230869889259338,0.6879212856292725,13722,10978,0.6867861747741699,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,6,Random-Matched,random_matched,GCN,0.638,0.6036306100292933,0.638,0.26749271137026237,0.23183828174352494,0.24839255499153975,0.19997084973036006,0.6230869889259338,0.6294406652450562,13722,10978,0.7635941505432129,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,7,Feature-only,feature_only,GCN,0.683,0.6682095779585823,0.656,0.5262390670553936,0.45609602021478207,0.488663282571912,0.19997084973036006,0.6230869889259338,0.6902896761894226,13722,10978,0.9371013641357422,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,7,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.673,0.6505594751986364,0.652,0.41690962099125367,0.361339229311434,0.3871404399323181,0.19997084973036006,0.6230869889259338,0.6715248227119446,13722,10978,1.9365437030792236,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8592712879180908,5.2834611352636784e-08,4.988405066796986e-07,4.4600585624721134e-07,0.2999999523162842,0.27759337425231934,0.697725059047951,,,,,,,,,,
Cora,cross_class_oracle,0.3,7,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.657,0.6429987270875321,0.65,0.41180758017492713,0.3569172457359444,0.3824027072758037,0.19997084973036006,0.6230869889259338,0.6698852181434631,13722,10978,4.324172735214233,0.1,0.5,0.3,,0.1,0.5,,0.8592712879180908,,,,0.33806291222572327,0.33940258622169495,0.6852680778171445,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.2735446830447472e-07,0.870827853679657,0.5023752450942993,0.4999999701976776
Cora,cross_class_oracle,0.3,7,DegreeAwareRandom,degree_aware_random,GCN,0.64,0.6156559526652358,0.644,0.23038292529817953,0.23183828174352494,0.2311083123425693,0.2321818976825536,0.6230869889259338,0.6271829605102539,13722,10536,0.6950857639312744,,,,,,,,,,,,,,,,,,,,,,,,
