dataset,noise_type,method,n_seeds,method_mean_acc,method_std_acc,fo_mean_acc,fo_std_acc,delta_pp,delta_std_pp,t_stat,t_pval,wilcoxon_pval,win_rate,cohens_d,mean_runtime
CiteSeer,low_feature_similarity,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.6117,0.010328493490232639,0.6392999999999999,0.011738351199759238,-2.7600000000000025,1.2001851708984106,-7.272116464771337,4.703137057014361e-05,0.001953125,0.0,-2.299645143868905,1.442597508430481
CiteSeer,low_feature_similarity,MCGC-cw3.0-lp0.1-ln0.5,10,0.6039,0.02104202144915425,0.6392999999999999,0.011738351199759238,-3.5400000000000027,2.629406354631743,-4.257410763945573,0.0021192112755401135,0.00390625,0.1,-1.3463114948985477,2.1600998640060425
CiteSeer,low_feature_similarity,DegreeAwareRandom,10,0.5740999999999999,0.014783248778412798,0.6392999999999999,0.011738351199759238,-6.520000000000002,2.2034316669938065,-9.357245179482932,6.202770982963776e-06,0.001953125,0.0,-2.9590207391797136,0.6409907579421997
CiteSeer,low_feature_similarity,GCN-Jaccard,10,0.6421,0.011100050049937223,0.6392999999999999,0.011738351199759238,0.28000000000000025,1.0496560283148855,0.8435503831370607,0.4207747517212694,0.875,0.2,0.2667540531820804,0.8513971328735351
CiteSeer,low_feature_similarity,Random-Matched,10,0.5685,0.010416333327999796,0.6392999999999999,0.011738351199759238,-7.080000000000003,1.8486030761992498,-12.111267216986374,7.117432413106899e-07,0.001953125,0.0,-3.8299189756605667,0.8924449682235718
Cora,cross_class_oracle,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.6638999999999999,0.013453211099543826,0.6811,0.00585851706682007,-1.7200000000000004,0.9840957496323456,-5.527020696432889,0.00036714162788538727,0.001953125,0.0,-1.7477974075618006,1.9155290603637696
Cora,cross_class_oracle,MCGC-cw3.0-lp0.1-ln0.5,10,0.6585000000000001,0.014916433890176313,0.6811,0.00585851706682007,-2.2600000000000007,1.23845782236529,-5.770683008268462,0.0002691985913004156,0.001953125,0.0,-1.8248501960960615,3.1733043909072878
Cora,cross_class_oracle,DegreeAwareRandom,10,0.6441999999999999,0.012612163441165315,0.6811,0.00585851706682007,-3.690000000000002,1.1415875885021805,-10.221558716603933,2.9807413106837824e-06,0.001953125,0.0,-3.2323406781615986,0.546038031578064
Cora,cross_class_oracle,GCN-Jaccard,10,0.6834000000000001,0.0054609726443392735,0.6811,0.00585851706682007,0.2299999999999991,0.4785394445602162,1.5198827810466997,0.16286102039612788,0.109375,0.7,0.48062913645785665,0.7699628114700318
Cora,cross_class_oracle,Random-Matched,10,0.6416,0.017783887838902585,0.6811,0.00585851706682007,-3.950000000000002,1.6594845250525507,-7.527034189890716,3.5896077448861956e-05,0.001953125,0.0,-2.3802572066015006,1.0634747743606567
Cora,degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.7221,0.011219526628952666,0.7345,0.018524758208048688,-1.240000000000001,1.4175095531718074,-2.7662771582982955,0.021886332237205642,0.025390625,0.2,-0.8747736459520767,1.3969419479370118
Cora,degree_aligned_random,MCGC-cw3.0-lp0.1-ln0.5,10,0.7215,0.014096886969193681,0.7345,0.018524758208048688,-1.3000000000000012,1.6411378166788244,-2.504945603251201,0.03358815979193985,0.05078125,0.3,-0.7921333521098277,2.644834589958191
Cora,degree_aligned_random,DegreeAwareRandom,10,0.7129000000000001,0.02070131504142778,0.7345,0.018524758208048688,-2.160000000000001,1.87332147089957,-3.646208006511388,0.005348977052883297,0.005859375,0.1,-1.1530322123318042,0.6161761522293091
Cora,degree_aligned_random,GCN-Jaccard,10,0.7349,0.014371654200002337,0.7345,0.018524758208048688,0.040000000000000036,0.808565258824406,0.15643895780365827,0.8791399923724917,0.80078125,0.4,0.049470342144253235,0.6797268867492676
Cora,degree_aligned_random,Random-Matched,10,0.7083999999999999,0.01915550399580583,0.7345,0.018524758208048688,-2.610000000000001,2.06529524389237,-3.9963025709991884,0.003127830283900271,0.005859375,0.1,-1.2637418343544191,1.0655271768569947
Cora,low_feature_similarity,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.7351,0.01742571535276403,0.7133,0.016145518814140915,2.180000000000002,1.9820303843393652,3.4781330062530045,0.0069589960406199565,0.0078125,0.8,1.099882230476816,1.6273882389068604
Cora,low_feature_similarity,MCGC-cw3.0-lp0.1-ln0.5,10,0.7224,0.014222048610051474,0.7133,0.016145518814140915,0.9100000000000007,1.63057590371555,1.7648198186885695,0.11141282383349072,0.185546875,0.6,0.5580850286861273,2.3963088035583495
