run_id,timestamp,seed,dataset,method,oracle_only,proxy_model,downstream_model,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,checkpoint_path,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio
noisy_orig_Cora_n0.05_s2,2026-05-30T20:40:49.673003,2,Cora,Original+Noise,False,-,GCN,0.0,10562,10562,0,0,0,,0.764,0.779,0.773884860649608,85,0.8339173793792725,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.05_s2,2026-05-30T20:40:51.556339,2,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09316417345199768,10562,9578,0,1.0,3.5369277000427246,,0.756,0.776,0.7684886949087221,84,0.5233170986175537,configs/graca_lite_cora.yaml,,,0.0020325203252032522,0.3333333333333333,0.00404040404040404,0.09302766199317923
noisy_random_Cora_n0.05_s2,2026-05-30T20:40:53.062002,2,Cora,Random+Noise,False,-,GCN,0.09306949441393675,10562,9579,0,0,0,,0.726,0.765,0.7619264743438761,67,0.47873806953430176,configs/graca_lite_cora.yaml,,,0.0,0.0,0.0,0.09312239484653277
noisy_orig_Cora_n0.1_s2,2026-05-30T20:40:53.638229,2,Cora,Original+Noise,False,-,GCN,0.0,10566,10566,0,0,0,,0.76,0.771,0.7654674433713158,82,0.5110642910003662,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.1_s2,2026-05-30T20:40:55.302890,2,Cora,GraCA-lite+Noise,False,GCN,GCN,0.0954949839106568,10566,9557,0,1.0,3.529172897338867,,0.756,0.754,0.7510678483502213,65,0.4665236473083496,configs/graca_lite_cora.yaml,,,0.002973240832507433,0.3,0.005888125613346417,0.09530125047366426
noisy_random_Cora_n0.1_s2,2026-05-30T20:40:56.672746,2,Cora,Random+Noise,False,-,GCN,0.09540034071550252,10566,9558,0,0,0,,0.744,0.769,0.7634884552070791,77,0.5080442428588867,configs/graca_lite_cora.yaml,,,0.001984126984126984,0.2,0.003929273084479371,0.09530125047366426
noisy_orig_Cora_n0.2_s2,2026-05-30T20:40:57.230687,2,Cora,Original+Noise,False,-,GCN,0.0,10576,10576,0,0,0,,0.758,0.782,0.7764605320413656,84,0.5408825874328613,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.2_s2,2026-05-30T20:40:59.008542,2,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09332450832072614,10576,9589,0,1.0,3.540989637374878,,0.756,0.771,0.763355908916336,81,0.5276362895965576,configs/graca_lite_cora.yaml,,,0.005065856129685917,0.25,0.009930486593843098,0.09302766199317923
noisy_random_Cora_n0.2_s2,2026-05-30T20:41:00.453079,2,Cora,Random+Noise,False,-,GCN,0.0932299546142209,10576,9590,0,0,0,,0.734,0.761,0.7538067148648198,82,0.5225861072540283,configs/graca_lite_cora.yaml,,,0.002028397565922921,0.1,0.003976143141153081,0.09321712769988633
noisy_orig_Cora_n0.3_s2,2026-05-30T20:41:00.979827,2,Cora,Original+Noise,False,-,GCN,0.0,10577,10577,0,0,0,,0.752,0.779,0.7709279504550851,82,0.5086009502410889,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.3_s2,2026-05-30T20:41:02.702670,2,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09501749078188526,10577,9572,0,1.0,3.534712076187134,,0.752,0.76,0.7550860355049224,67,0.49384021759033203,configs/graca_lite_cora.yaml,,,0.004975124378109453,0.23809523809523808,0.009746588693957114,0.094732853353543
noisy_random_Cora_n0.3_s2,2026-05-30T20:41:04.010487,2,Cora,Random+Noise,False,-,GCN,0.09501749078188526,10577,9572,0,0,0,,0.766,0.779,0.7694939484746193,94,0.5530381202697754,configs/graca_lite_cora.yaml,,,0.0029850746268656717,0.14285714285714285,0.005847953216374269,0.0949223190602501
noisy_orig_Cora_n0.05_s3,2026-05-30T20:41:07.869769,3,Cora,Original+Noise,False,-,GCN,0.0,10561,10561,0,0,0,,0.78,0.78,0.7725713957231249,65,0.7765178680419922,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.05_s3,2026-05-30T20:41:09.691344,3,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09175267493608563,10561,9592,0,1.0,3.542097568511963,,0.776,0.772,0.7625814104854287,68,0.4765138626098633,configs/graca_lite_cora.yaml,,,0.0010319917440660474,0.2,0.002053388090349076,0.09170140204622963
noisy_random_Cora_n0.05_s3,2026-05-30T20:41:10.903772,3,Cora,Random+Noise,False,-,GCN,0.09175267493608563,10561,9592,0,0,0,,0.766,0.775,0.7667157155274383,80,0.4976377487182617,configs/graca_lite_cora.yaml,,,0.0010319917440660474,0.2,0.002053388090349076,0.09170140204622963
noisy_orig_Cora_n0.1_s3,2026-05-30T20:41:11.387296,3,Cora,Original+Noise,False,-,GCN,0.0,10568,10568,0,0,0,,0.784,0.784,0.7781976667519493,68,0.46589159965515137,configs/graca_lite_cora.yaml,,,,,,
noisy_graca_Cora_n0.1_s3,2026-05-30T20:41:12.995443,3,Cora,GraCA-lite+Noise,False,GCN,GCN,0.09415215745647232,10568,9573,0,1.0,3.535081148147583,,0.782,0.78,0.7711800674935428,41,0.40945005416870117,configs/graca_lite_cora.yaml,,,0.003015075376884422,0.25,0.005958291956305858,0.09397499052671467
