dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,hp_ambig_scale,hp_base_alpha,hp_base_beta,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as2.0-lp0.1-ln0.5,faa_hybrid,GCN,0.582,0.5739590232413245,0.586,0.013848396501457727,0.012002526847757423,0.012859560067681896,0.19997084973036006,0.6230869889259338,0.5931863784790039,13722,10978,1.3099982738494873,0.1,0.5,0.3,2.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as2.0-lp0.25-ln0.25,faa_hybrid,GCN,0.614,0.6007047677133175,0.596,0.10422740524781342,0.0903348073278585,0.09678510998307953,0.19997084973036006,0.6230869889259338,0.6106758713722229,13722,10978,1.299987554550171,0.25,0.25,0.3,2.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as3.0-lp0.1-ln0.5,faa_hybrid,GCN,0.59,0.5868220441536354,0.582,0.007288629737609329,0.006317119393556538,0.006768189509306261,0.19997084973036006,0.6230869889259338,0.5922754406929016,13722,10978,1.3238248825073242,0.1,0.5,0.3,3.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,1,FAA-Hybrid-as3.0-lp0.25-ln0.25,faa_hybrid,GCN,0.608,0.6073383502291867,0.608,0.1260932944606414,0.10928616550852811,0.1170896785109983,0.19997084973036006,0.6230869889259338,0.6157770156860352,13722,10978,1.4974565505981445,0.25,0.25,0.3,3.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,1,MCGC-cw0.5-lp0.1-ln0.5,mcgc,GCN,0.622,0.6103761268362602,0.586,0.029154518950437316,0.025268477574226154,0.027072758037225045,0.19997084973036006,0.6230869889259338,0.5975587368011475,13722,10978,2.0080277919769287,0.1,0.5,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,MCGC-cw0.5-lp0.25-ln0.25,mcgc,GCN,0.618,0.6166716373510678,0.612,0.11370262390670553,0.09854706253948199,0.10558375634517765,0.19997084973036006,0.6230869889259338,0.6126798987388611,13722,10978,2.253786325454712,0.25,0.25,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,MCGC-cw1.0-lp0.1-ln0.5,mcgc,GCN,0.625,0.6129613314897183,0.6,0.048833819241982504,0.04232469993682881,0.045346869712351946,0.19997084973036006,0.6230869889259338,0.6012023687362671,13722,10978,2.1802077293395996,0.1,0.5,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,MCGC-cw1.0-lp0.25-ln0.25,mcgc,GCN,0.614,0.6049286362395705,0.6,0.10276967930029154,0.0890713834491472,0.09543147208121829,0.19997084973036006,0.6230869889259338,0.609947144985199,13722,10978,2.1067821979522705,0.25,0.25,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,MCGC-cw2.0-lp0.1-ln0.5,mcgc,GCN,0.631,0.6305988658564038,0.608,0.10276967930029154,0.0890713834491472,0.09543147208121829,0.19997084973036006,0.6230869889259338,0.613044261932373,13722,10978,2.228010892868042,0.1,0.5,0.3,,,,2.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,MCGC-cw2.0-lp0.25-ln0.25,mcgc,GCN,0.623,0.6133045387095489,0.608,0.09475218658892129,0.082122552116235,0.08798646362098138,0.19997084973036006,0.6230869889259338,0.6086719036102295,13722,10978,2.1819968223571777,0.25,0.25,0.3,,,,2.0,"[0.3, 0.5, 0.7, 0.9]",200.0
