dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Actor,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.26842105263157895,0.19846182166373033,0.2746710526315789,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,3.8278021812438965,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.2638157894736842,0.220324729475556,0.2767269736842105,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.15834969282150269,69433,55529,5.7852864265441895,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.7830454111099243,1.1347893291713262e-07,6.91780542183551e-07,5.783016945315467e-07,0.29999998211860657,0.3192581832408905,0.11579523381988474,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.2657894736842105,0.16551572457434843,0.2816611842105263,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.15723316371440887,69433,55529,21.125577926635742,0.1,0.5,0.3,,0.1,0.5,,0.7830454111099243,,,,0.296364963054657,0.42481523752212524,0.1953877819525927,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,2.0482207219174597e-07,0.8267610669136047,0.4344173073768616,0.5
Actor,feature_similar_cross_class,0.3,2,DegreeAwareRandom,degree_aware_random,GCN,0.2638157894736842,0.1503725753550771,0.28207236842105265,0.21496978149697815,0.2886031706403695,0.24640306938079506,0.30979505422493625,0.16777324676513672,0.16662146151065826,69433,47923,1.7589550018310547,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,2,GCN-Jaccard,jaccard,GCN,0.2710526315789474,0.200440961501557,0.27508223684210525,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,2.355287790298462,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,2,Random-Matched,random_matched,GCN,0.2730263157894737,0.2115829102330838,0.27425986842105265,0.22554660529344073,0.1957308700536762,0.20958363964445634,0.2002506012990941,0.16777324676513672,0.16829043626785278,69433,55529,12.040053606033325,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,3,Feature-only,feature_only,GCN,0.2894736842105263,0.20925055434003856,0.27754934210526316,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,7.221867561340332,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,3,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.2789473684210526,0.20350369184642303,0.2878289473684211,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.15831367671489716,69433,55529,13.274353981018066,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.7828499674797058,7.739980389942502e-08,5.483817631102283e-07,4.7098200184336747e-07,0.30000001192092896,0.31732404232025146,0.12201417103270089,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,3,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.27039473684210524,0.13937698444118926,0.2808388157894737,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1562967151403427,69433,55529,11.876395225524902,0.1,0.5,0.3,,0.1,0.5,,0.7828499674797058,,,,0.2966034710407257,0.42459383606910706,0.1963430971784899,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,3.0802402761764824e-07,0.8191385865211487,0.4201500415802002,0.5
Actor,feature_similar_cross_class,0.3,3,DegreeAwareRandom,degree_aware_random,GCN,0.2888157894736842,0.18517819181545964,0.27631578947368424,0.21070203097468237,0.2836100362002247,0.24177929126316908,0.31060158714156094,0.16777324676513672,0.16806985437870026,69433,47867,1.9110219478607178,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,3,GCN-Jaccard,jaccard,GCN,0.2894736842105263,0.20954228699229666,0.2791940789473684,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,2.4011001586914062,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,3,Random-Matched,random_matched,GCN,0.28157894736842104,0.16948206599713056,0.26973684210526316,0.2277042577675489,0.19760329546873048,0.21158858517676937,0.2002506012990941,0.16777324676513672,0.16926290094852448,69433,55529,11.135230541229248,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,4,Feature-only,feature_only,GCN,0.2789473684210526,0.18386305298745717,0.2915296052631579,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,10.71114206314087,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,4,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.27828947368421053,0.19417774434126178,0.29399671052631576,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.15863782167434692,69433,55529,20.87908625602722,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.7827466726303101,2.08932220857605e-07,1.0809886816787184e-06,8.72056432399404e-07,0.29999998211860657,0.319099098443985,0.11545127396993576,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,4,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.2730263157894737,0.20033413160125782,0.28618421052631576,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.15557636320590973,69433,55529,20.414732456207275,0.1,0.5,0.3,,0.1,0.5,,0.7827466726303101,,,,0.29280078411102295,0.42714592814445496,0.19850885089544537,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.3338473081603297e-07,0.804599404335022,0.409930020570755,0.5
Actor,feature_similar_cross_class,0.3,4,DegreeAwareRandom,degree_aware_random,GCN,0.2723684210526316,0.18058773254420474,0.28125,0.20653387937453463,0.27699413306703285,0.23663023193814983,0.30947820200769083,0.16777324676513672,0.16508500277996063,69433,47945,2.096449613571167,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,4,GCN-Jaccard,jaccard,GCN,0.2789473684210526,0.1840768117287553,0.2923519736842105,0.0,0.0,0.0,0.2002506012990941,0.16777324676513672,0.1570170521736145,69433,55529,2.4735631942749023,,,,,,,,,,,,,,,,,,,,,,,,
Actor,feature_similar_cross_class,0.3,4,Random-Matched,random_matched,GCN,0.2631578947368421,0.1986619144659977,0.28412828947368424,0.2304372842347526,0.19997503432779928,0.21412818285103252,0.2002506012990941,0.16777324676513672,0.1673179715871811,69433,55529,13.556757688522339,,,,,,,,,,,,,,,,,,,,,,,,
Actor,degree_aligned_random,0.3,0,Feature-only,feature_only,GCN,0.29078947368421054,0.19455499250106328,0.296875,0.0,0.0,0.0,0.2002506012990941,0.21705816686153412,0.21864251792430878,69433,55529,3.4590773582458496,,,,,,,,,,,,,,,,,,,,,,,,
Actor,degree_aligned_random,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.2736842105263158,0.18184520268107493,0.28741776315789475,0.48130034522439585,0.4176756959181126,0.44723651674129516,0.2002506012990941,0.21705816686153412,0.21932683885097504,69433,55529,9.861295700073242,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8382583260536194,8.099454618104573e-08,5.166337473383464e-07,4.356392366844375e-07,0.29999998211860657,0.30203086137771606,0.5628357014609395,,,,,,,,,,
Actor,degree_aligned_random,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.28289473684210525,0.1849575971477529,0.29317434210526316,0.31789413118527043,0.27587067781800023,0.2953953084274544,0.2002506012990941,0.21705816686153412,0.21921879053115845,69433,55529,22.999629497528076,0.1,0.5,0.3,,0.1,0.5,,0.8382583260536194,,,,0.29531481862068176,0.41128942370414734,0.5241979757939926,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,8.899336307877093e-07,0.8176011443138123,0.42281001806259155,0.5
Actor,degree_aligned_random,0.3,0,DegreeAwareRandom,degree_aware_random,GCN,0.2723684210526316,0.22715376231632883,0.2857730263157895,0.23390518354547132,0.3165647235051804,0.2690288017822097,0.31230106721587714,0.21705816686153412,0.2186642736196518,69433,47749,1.771880865097046,,,,,,,,,,,,,,,,,,,,,,,,
Actor,degree_aligned_random,0.3,0,GCN-Jaccard,jaccard,GCN,0.2914473684210526,0.19279684137119119,0.29605263157894735,0.0,0.0,0.0,0.2002506012990941,0.21705816686153412,0.21864251792430878,69433,55529,2.2257165908813477,,,,,,,,,,,,,,,,,,,,,,,,
