dataset,method,downstream_model,proxy_model,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,prune_ratio_mean,prune_ratio_std,runtime_mean,runtime_std
PubMed,DropEdge,GraphSAGE,-,0.7684,0.004335896677735772,0.755,0.003240370349203941,0.7500415418314531,0.0032740471555614066,0.2,0.0,0.6160160541534424,0.11338687196179581
PubMed,Homophily Pruning,GAT,-,0.796,0.0024494897427831683,0.774,0.00774596669241488,0.7681223928766601,0.006870171486513893,0.0,0.0,1.0147180080413818,0.24323748741084997
PubMed,Homophily Pruning,GCN,-,0.7772,0.007429670248402729,0.762,0.003937003937005923,0.7571600934644638,0.004579374785410382,0.0,0.0,0.47180728912353515,0.08891467255700738
PubMed,Homophily Pruning,GraphSAGE,-,0.7772,0.012537942414926003,0.751,0.00578791845139511,0.7466717156130285,0.0073779324287778,0.0,0.0,0.6600594520568848,0.17382713361704563
PubMed,Original,GAT,-,0.796,0.0024494897427831683,0.774,0.00774596669241488,0.7681223928766601,0.006870171486513893,0.0,0.0,1.0399827003479003,0.24494250638058954
PubMed,Original,GCN,-,0.7776,0.0074027022093287225,0.7644,0.006107372593840965,0.7598777111213786,0.00743969924203582,0.0,0.0,0.7719580173492432,0.10380085111578742
PubMed,Original,GraphSAGE,-,0.7776,0.012601587201618705,0.7512000000000001,0.006016643582596526,0.7465297415930227,0.007180412906942994,0.0,0.0,0.721738052368164,0.13217936510486403
PubMed,Random Pruning,GAT,-,0.7896000000000001,0.010899541274750981,0.7718,0.005848076606885384,0.767626513746216,0.004743353064868061,0.1999932316577926,0.0,0.8808625698089599,0.04858588374469886
PubMed,Random Pruning,GCN,-,0.7604,0.01143678276439668,0.746,0.008999999999999975,0.7432795036765263,0.009300448838487973,0.1999932316577926,0.0,0.5124075412750244,0.09826617089109933
PubMed,Random Pruning,GraphSAGE,-,0.7492,0.021475567512873793,0.724,0.014212670403551904,0.720412827492912,0.014827724323539028,0.1999932316577926,0.0,0.6163719654083252,0.12981223857552207
Texas,DropEdge,GAT,-,0.6067796610169491,0.06040179552951004,0.5513513513513514,0.12177167920074392,0.22808631389427636,0.06237123699182139,0.2,0.0,0.5352188587188721,0.1918529708106454
Texas,DropEdge,GCN,-,0.6372881355932203,0.015159782898303612,0.5243243243243244,0.07047786384002863,0.19604048655996004,0.01551071262651897,0.2,0.0,0.43540334701538086,0.08467683917994104
Texas,DropEdge,GraphSAGE,-,0.9220338983050848,0.015159782898303616,0.8702702702702704,0.02261243314956959,0.7735222349416879,0.06750800923201572,0.2,0.0,0.5575990676879883,0.10689974527324211
Texas,Homophily Pruning,GAT,-,0.576271186440678,0.026798963221765986,0.5513513513513513,0.12326220811882575,0.25036804449420547,0.0305683402791147,0.1463414634146341,0.0,0.35061879158020015,0.03005223727427515
Texas,Homophily Pruning,GCN,-,0.5898305084745763,0.022098991204076802,0.6162162162162163,0.012086853932431281,0.22235949715443257,0.021832755487992603,0.1463414634146341,0.0,0.27499289512634273,0.006695927444293396
Texas,Homophily Pruning,GraphSAGE,-,0.8542372881355933,0.030789664617940568,0.8162162162162163,0.04008755938970625,0.6662390588596787,0.11933100446255289,0.1463414634146341,0.0,0.5376001358032226,0.1680820147960807
Texas,Original,GAT,-,0.6135593220338983,0.06715800934291169,0.6054054054054054,0.062220888828223464,0.2589962573588417,0.05411172036175465,0.0,0.0,0.3708921432495117,0.01787599918747691
Texas,Original,GCN,-,0.6881355932203389,0.028361356831663607,0.5675675675675675,0.05056293765910736,0.2983023404970676,0.03895986041467296,0.0,0.0,0.9642503261566162,0.23156452226049554
Texas,Original,GraphSAGE,-,0.9220338983050848,0.030789664617940613,0.9243243243243244,0.03523893192001435,0.88015035285552,0.055958252999681136,0.0,0.0,0.5925673961639404,0.15264841354090938
Texas,Random Pruning,GAT,-,0.5728813559322034,0.03674488709945557,0.5513513513513514,0.0947874481986497,0.21142739985554315,0.04333449323125385,0.1930313588850174,0.003972736672819335,0.4138975143432617,0.09726975893680191
Texas,Random Pruning,GCN,-,0.576271186440678,0.03170896090486392,0.5891891891891892,0.04834741572972517,0.2398829355896357,0.04227925256491323,0.1930313588850174,0.003972736672819335,0.3296475887298584,0.07456938592352327
Texas,Random Pruning,GraphSAGE,-,0.8677966101694915,0.02209899120407681,0.854054054054054,0.0452248662991392,0.7301832422896253,0.08030083137145848,0.1930313588850174,0.003972736672819335,0.5773029327392578,0.09457066388374412
Wisconsin,DropEdge,GAT,-,0.6174999999999999,0.025920551691659632,0.49411764705882344,0.02147931598059478,0.26982197661910795,0.01100877628527961,0.2,0.0,0.4694670677185059,0.08475891682016816
Wisconsin,DropEdge,GCN,-,0.605,0.022707377655731206,0.5372549019607844,0.01753778805882194,0.3046198622166364,0.014645982511167471,0.2,0.0,0.30908813476562497,0.009790886149202363
Wisconsin,DropEdge,GraphSAGE,-,0.8574999999999999,0.006846531968814611,0.7019607843137254,0.02147931598059478,0.5238294894155049,0.020867518909244046,0.2,0.0,0.5004626274108886,0.06775135759300008
Wisconsin,Homophily Pruning,GAT,-,0.585,0.056180512635610594,0.5058823529411764,0.061068280401558594,0.2777701326765546,0.044998969977958825,0.1331877729257642,0.0,0.42765188217163086,0.15828519605512817
Wisconsin,Homophily Pruning,GCN,-,0.52,0.018957188610128902,0.4980392156862744,0.0107396579902974,0.29342438724981695,0.026878695177818088,0.1331877729257642,0.0,0.28536033630371094,0.009131946857321284
Wisconsin,Homophily Pruning,GraphSAGE,-,0.8300000000000001,0.01118033988749898,0.6941176470588235,0.022356380884296836,0.5027538257979289,0.013077452858357484,0.1331877729257642,0.0,0.6923052787780761,0.01577677757810501
Wisconsin,Original,GAT,-,0.6,0.019764235376052385,0.4980392156862745,0.026306682088232843,0.2782586234904215,0.02648389469382285,0.0,0.0,0.431533145904541,0.04473004893848057
Wisconsin,Original,GCN,-,0.615,0.020539595906443723,0.5725490196078431,0.029083131321943765,0.32189689216418405,0.024492039364285036,0.0,0.0,0.6055728435516358,0.007120490142213443
Wisconsin,Original,GraphSAGE,-,0.82,0.018957188610128854,0.6627450980392157,0.03507557611764378,0.49980434712970867,0.08261463011608956,0.0,0.0,0.44033350944519045,0.20219207709685358
Wisconsin,Random Pruning,GAT,-,0.605,0.03010398644698073,0.49411764705882344,0.029083131321943796,0.25517233256939137,0.03312462872144558,0.1951965065502183,0.0014234066386905454,0.39462919235229493,0.05669672105591868
Wisconsin,Random Pruning,GCN,-,0.605,0.03010398644698072,0.5411764705882354,0.02630668208823284,0.31794499572919993,0.03549582680233419,0.1951965065502183,0.0014234066386905454,0.30661783218383787,0.04843608860604289
Wisconsin,Random Pruning,GraphSAGE,-,0.8275,0.02236067977499794,0.6862745098039216,0.03668291555660725,0.5024823359646888,0.045049023851813724,0.1951965065502183,0.0014234066386905454,0.5687172412872314,0.1698100579557623
